S.No - Col.1,Name of State/UT - Col.2,Total Length (Col. 6+7) - Col.3,Surfaced - W.B.M. - Col.4,Surfaced - B.T./C.C - Col.5,Surfaced - Total (Col. 4+5) - Col.6,Unsurfaced - Total - Col.7
1,Andhra Pradesh,848,434,249,683,165
2,Arunachal Pradesh,NA,NA,NA,NA,NA
3,Assam,1483,35,14,49,1433
4,Bihar,NA,NA,NA,NA,NA
5,Chhattisgarh,3023,111,296,407,2616
6,Goa,159,22,84,106,53
7,Gujarat,8768,1340,825,2165,6603
8,Haryana,1437,6,105,111,1326
9,Himachal Pradesh,4452,764,1868,2632,1820
10,Jammu & Kashmir,422,133,0,133,289
11,Jharkhand,2604,566,133,700,1904
12,Karnataka,9731,4425,1825,6250,3481
13,Kerala,3939,615,1784,2399,1540
14,Madhya Pradesh,4670,1243,715,1958,2712
15,Maharashtra,7497,1871,1059,2931,4567
16,Manipur,NA,NA,NA,NA,NA
17,Meghalaya,180,6,7,14,166
18,Mizoram,NA,NA,NA,NA,NA
19,Nagaland,0,0,0,0,0
20,Odisha,17388,4430,3113,7542,9845
21,Punjab,8243,66,1469,1535,6708
22,Rajasthan,839,136,387,523,316
23,Sikkim,0,0,0,0,0
24,Tamil Nadu,4070,281,1671,1952,2118
25,Telangana,1726,203,582,785,941
26,Tripura,82,0,9,9,72
27,Uttarakhand,406,18,325,343,63
28,Uttar Pradesh,20492,0,3049,3049,17443
29,West Bengal,5625,1608,716,2325,3301
30,A & N Islands,NA,NA,NA,NA,NA
31,UT Chandigarh,NA,NA,NA,NA,NA
32,D & N Haveli,NA,NA,NA,NA,NA
33,Daman & Diu,NA,NA,NA,NA,NA
34,Delhi,NA,NA,NA,NA,NA
35,Lakshadweep,NA,NA,NA,NA,NA
36,Puducherry,NA,NA,NA,NA,NA
Total,Total,108083,18314,20286,38600,69483
