S.No - Col.1,Name of State/UT - Col.2,Total Length (Col. 6+7) - Col.3,Surfaced - W.B.M. - Col.4,Surfaced  - B.T./C.C - Col.5,Surfaced  - Total (Col. 4+5) - Col.6,Unsurfaced - Col.7
1,Andhra Pradesh ,NA,NA,NA,NA,NA
2,Arunachal Pradesh,NA,NA,NA,NA,NA
3,Assam ,NA,NA,NA,NA,NA
4,Bihar  ,NA,NA,NA,NA,NA
5,Chhattisgarh,NA,NA,NA,NA,NA
6,Goa,NA,NA,NA,NA,NA
7,Gujarat ,NA,NA,NA,NA,NA
8,Haryana  ,NA,NA,NA,NA,NA
9,Himachal Pradesh  ,NA,NA,NA,NA,NA
10,Jammu & Kashmir,NA,NA,NA,NA,NA
11,Jharkhand  ,NA,NA,NA,NA,NA
12,Karnataka ,156,0,52,52,104
13,Kerala  ,NA,NA,NA,NA,NA
14,Madhya Pradesh ,NA,NA,NA,NA,NA
15,Maharashtra,NA,NA,NA,NA,NA
16,Manipur,NA,NA,NA,NA,NA
17,Meghalaya,NA,NA,NA,NA,NA
18,Mizoram,NA,NA,NA,NA,NA
19,Nagaland,NA,NA,NA,NA,NA
20,Odisha  ,NA,NA,NA,NA,NA
21,Punjab,NA,NA,NA,NA,NA
22,Rajasthan ,NA,NA,NA,NA,NA
23,Sikkim,NA,NA,NA,NA,NA
24,Tamil Nadu,1676,0,1676,1676,0
25,Telangana,NA,NA,NA,NA,NA
26,Tripura,NA,NA,NA,NA,NA
27,Uttarakhand,4,0,4,4,0
28,Uttar Pradesh ,13069,0,9555,9555,3514
29,West Bengal,NA,NA,NA,NA,NA
30,Andaman & Nicobar Islands,NA,NA,NA,NA,NA
31,UT Chandigarh,NA,NA,NA,NA,NA
32,Dadra & Nagar Haveli,NA,NA,NA,NA,NA
33,Daman & Diu,NA,NA,NA,NA,NA
34,Delhi,NA,NA,NA,NA,NA
35,Lakshadweep,NA,NA,NA,NA,NA
36,Puducherry  ,41,5,28,33,8
Total,Total,14947,5,11315,11320,3626
