S.No. - Col.1,Name of State/UT - Col.2,Total Length (Col. 6+7) - Col.3,Surfaced - WBM/WMM - Col.4,Surfaced - BT/CC - Col.5,Surfaced - Total (Col. 4+5) - Col.6,Un-Surfaced - Col.7
1,Andhra Pradesh,32711,297,30799,31096,1615
2,Arunachal Pradesh ,8731,1633,3025,4659,4072
3,Assam,6093,0,4755,4755,1338
4,Bihar ,11145,0,11145,11145,0
5,Chhattisgarh,11965,350,11298,11648,317
6,Goa,1191,1,1190,1191,1
7,Gujarat,30809,293,29935,30228,581
8,Haryana,21897,4,21893,21897,0
9,Himachal Pradesh ,3647,27,3528,3555,91
10,Jammu & Kashmir,19695,8141,10849,18990,705
11,Jharkhand,10476,0,10476,10476,0
12,Karnataka ,49952,1501,47619,49121,831
13,Kerala ,27470,0,27470,27470,0
14,Madhya Pradesh ,45524,0,45524,45524,0
15,Maharashtra,109530,15764,83853,99617,9913
16,Manipur,9467,904,3940,4844,4623
17,Meghalaya,5023,278,3926,4204,819
18,Mizoram,1714,0,1610,1610,104
19,Nagaland,6467,1780,1911,3691,2776
20,Odisha,17877,963,16914,17877,0
21,Punjab,6980,0,6980,6980,0
22,Rajasthan,23670,17,23040,23057,613
23,Sikkim,1469,38,694,732,736
24,Tamil Nadu,46496,0,46496,46496,0
25,Telangana ,25372,181,23888,24069,1303
26,Tripura,461,0,461,461,0
27,Uttarakhand,4906,40,4522,4562,343
28,Uttar Pradesh,56314,0,56314,56314,0
29,West Bengal,10449,59,10365,10424,25
30,A & N  Island      ,180,0,180,180,0
31,Chandigarh,83,0,83,83,0
32,Dadra & Nagar Haveli,190,0,190,190,0
33,Daman & Diu,59,0,59,59,0
34,Delhi,2462,0,2462,2462,0
35,Lakshadweep,0,0,0,0,0
36,Puducherry,793,1,396,397,397
Total,Total,611268,32272,547793,580064,31204
