S. No. - Col.1,Name of State/UT - Col.2,Total Length (Col. 6+7) - Col.3,Surfaced - WBM/WMM - Col.4,Surfaced - BT/CC - Col.5,Surfaced - Total (Col. 4+5) - Col.6,Unsurfaced - Total - Col.7
1,Andhra Pradesh ,23297,2202,16458,18660,4636
2,Arunachal Pradesh ,0,0,0,0,0
3,Assam,4729,620,1890,2510,2219
4,Bihar,8537,1112,2375,3487,5050
5,Chhattisgarh ,12355,1123,9600,10722,1633
6,Goa ,682,79,508,587,95
7,Gujarat ,29264,2933,20960,23893,5371
8,Haryana,13747,594,9114,9708,4039
9,Himachal Pradesh,1846,115,1208,1323,523
10,Jammu & Kashmir,441,2,439,441,0
11,Jharkhand ,6432,0,4374,4374,2058
12,Karnataka,40482,5419,22017,27436,13046
13,Kerala,32745,3129,22745,25874,6871
14,Madhya Pradesh ,29368,4623,18901,23524,5844
15,Maharashtra,20958,4095,12382,16477,4481
16,Manipur,122,22,46,68,54
17,Meghalaya,30,NA,26,26,4
18,Mizoram ,2852,0,500,500,2352
19,Nagaland ,0,0,0,0,0
20,Odisha ,20245,3636,11575,15211,5034
21,Punjab,16320,519,13458,13978,2343
22,Rajasthan ,29270,2818,21641,24459,4811
23,Sikkim,49,0,47,47,2
24,Tamil Nadu,23355,607,21487,22094,1261
25,Telangana ,9103,0,8360,8360,743
26,Tripura,518,115,257,372,146
27,Uttarakhand ,5082,374,3130,3504,1578
28,Uttar Pradesh,59960,0,45220,45220,14740
29,West Bengal,92963,4831,59928,64759,28204
30,A & N Islands ,72,0,72,72,0
31,Chandigarh,2334,0,2334,2334,0
32,D & N Haveli ,83,0,83,83,0
33,Daman & Diu,46,NA,46,46,0
34,Delhi,14336,0,14336,14336,0
35,Lakshadweep ,0,0,0,0,0
36,Puducherry,1021,150,824,974,47
Total,Total,502647,39118,346343,385460,117187
