S. No.,State/UT, Length of NH
1,Andhra Pradesh,6412
2,Arunachal Pradesh,2537
3,Assam,3909
4,Bihar,4877
5,Chhattisgarh,3592
6,Goa,293
7,Gujarat,6050
8,Haryana,2788
9,Himachal Pradesh,2607
10,Jammu & Kashmir,2327
11,Jharkhand,2686
12,Karnataka,7266
13,Kerala,1781
14,Madhya Pradesh,8219
15,Maharashtra,17728
16,Manipur,1751
17,Meghalaya,1155
18,Mizoram,1423
19,Nagaland,1548
20,Odisha,5430
21,Punjab,3269
22,Rajasthan,8916
23,Sikkim,463
24,Tamil Nadu,6741
25,Telangana,3795
26,Tripura,854
27,Uttarakhand,2949
28,Uttar Pradesh,11376
29,West Bengal,3074
30,Andaman & Nicobar Island,332
31,Chandigarh,15
32,Dadar & Nagar Haveli,31
33,Daman & Diu,22
34,Delhi,70
35,Lakshadweep,0
36,Puducherry,64
Total,Total,126350
