S. No. - Col.1,Name of State/UT - Col.2,Total Length (Col. 6+7) - Col.3,Surfaced - W.B.M. - Col.4,Surfaced - BT/CC - Col.5,Surfaced - Total (Col. 4+5) - Col.6,Unsurfaced - Col.7
1,Andhra Pradesh,115717,10129,32781,42910,72807
2,Arunachal Pradesh,5245,0,1219,1219,4026
3,Assam ,237761,8378,3738,12116,225645
4,Bihar ,122598,7240,42200,49440,73158
5,Chhatisgarh,583,0,583,583,0
6,Goa,10580,1071,5165,6235,4345
7,Gujarat ,44434,5640,36127,41767,2667
8,Haryana,0,0,0,0,0
9,Himachal Pradesh ,1695,72,191,263,1432
10,Jammu & Kashmir ,2740,1693,0,1693,1047
11,Jharkhand,0,0,0,0,0
12,Karnataka ,193081,24053,58059,82112,110969
13,Kerala ,174009,17246,93345,110591,63418
14,Madhya Pradesh ,122855,0,87815,87815,35040
15,Maharashtra,236890,78635,104320,182955,53935
16,Manipur,5487,0,1839,1839,3648
17,Meghalaya ,31029,1179,4747,5926,25103
18,Mizoram,0,0,0,0,0
19,Nagaland ,19455,3141,3461,6602,12853
20,Odisha ,171070,171070,0,171070,0
21,Punjab ,62580,0,62580,62580,0
22,Rajasthan,29270,2818,21641,24459,4811
23,Sikkim,4795,1536,1387,2923,1871
24,Tamil Nadu ,149446,10081,102157,112238,37208
25,Telangana,69500,11751,25089,36840,32660
26,Tripura ,21499,2003,7251,9254,12245
27,Uttarakhand,0,0,0,0,0
28,Uttar Pradesh,8009,908,6182,7090,919
29,West Bengal ,160616,1910,12774,14684,145932
30,A & N Islands,0,0,0,0,0
31,Chandigarh,0,0,0,0,0
32,D & N Haveli ,0,0,0,0,0
33,Daman & Diu ,92,1,91,92,0
34,Delhi,0,NA,NA,0,0
35,Lakshadweep,0,0,0,0,0
36,Puducherry ,1342,239,894,1132,210
Total,Total,2002379,360794,715635,1076429,925949
