S.No. - Col.1,Name of State/UT - Col.2," Total Length 
(Col. 6+7) - Col.3",Surfaced - W.B.M - Col.4,Surfaced - BT/CC - Col.5,Surfaced - Total (Col. 4+5) - Col.6,Unsurfaced - Col.7
1,Andhra Pradesh,20221,349,13882,14232,5989
2,Arunachal Pradesh,8938,8,6624,6632,2306
3,Assam,25544,0,17725,17725,7819
4,Bihar,61345,622,47835,48457,12889
5,Chhattisgarh,40542,2293,28750,31044,9499
6,Goa,207,2,155,157,50
7,Gujarat,18482,79,12553,12632,5850
8,Haryana,7027,38,5576,5614,1412
9,Himachal Pradesh,19893,953,13664,14616,5276
10,Jammu And Kashmir,15230,730,8633,9363,5867
11,Jharkhand,28638,574,19418,19992,8646
12,Karnataka,22847,36,18563,18599,4248
13,Kerala,7326,556,3179,3734,3592
14,Madhya Pradesh,82994,6518,70811,77330,5664
15,Maharashtra,31703,641,26053,26694,5009
16,Manipur,10330,222,6249,6471,3860
17,Meghalaya,2495,25,1695,1720,774
18,Mizoram,3840,0,2859,2859,981
19,Nagaland,3902,93,3488,3580,322
20,Odisha,62720,5270,46973,52243,10477
21,Punjab,8926,314,7966,8280,646
22,Rajasthan,71630,3190,64606,67795,3835
23,Sikkim,5385,8,3607,3615,1771
24,Tamilnadu,20407,2542,15398,17940,2467
25,Telangana,12454,206,10126,10332,2121
26,Tripura,6660,239,4170,4410,2250
27,Uttarakhand,12654,91,9368,9459,3195
28,Uttar Pradesh,79219,2239,54315,56553,22666
29,West Bengal,39295,6561,26335,32895,6399
30,A & N Islands,93,40,0,40,53
31,Chandigarh,0,0,0,0,0
32,Dadra  & Nagar Haveli    ,182,182,0,182,0
33,Daman & Diu   ,0,0,0,0,0
34,Delhi,0,0,0,0,0
35,Lakshadweep,0,0,0,0,0
36,Puducherry,107,19,69,88,19
Total ,Total ,731234,34641,550644,585284,145950
