S. No. - Col.1,States/UTs - Col.2,Major Port Trusts - Col.3,Total Length (Col. 7+8) - Col.4,Surfaced - W.B.M. - Col.5,Surfaced - B.T./C.C - Col.6,Surfaced - Total (Col. 5+6) - Col.7,Unsurfaced - Col.8
1,Andhra Pradesh,Visakhapatanam ,73,0,73,73,0
2,Goa,Mormugoa ,25,0,25,25,0
3,Gujarat,Kandla *,97,0,97,97,0
4,Karnataka,New Mangalore ,47,3,44,47,0
5,Kerala,Cochin ,37,4,33,37,0
6,Maharashtra,Total,107,0,107,107,0
6,Maharashtra,Jawaharlal Nehru Port Trust*,40,0,40,40,0
6,Maharashtra,Mumbai Port Trust,67,0,67,67,0
7,Odisha,Paradeep ,73,0,73,73,0
8,Tamil Nadu,Total ,124,0,123,124,0
8,Tamil Nadu,Chennai Port,31,0,31,31,0
8,Tamil Nadu,Kamrajar Port (Ennore Port Trust),14,0,14,14,0
8,Tamil Nadu,Tuticorin,78,0,78,78,0
9,West Bengal,Total,154,47,106,154,0
9,West Bengal,Kolkata Port,50,47,3,50,0
9,West Bengal,Haldia Dock,104,0,104,104,0
Total,Total,Total,737,55,681,736,0
