S.No - Col.1,Name of State/UT - Col.2,Total Length (Col. 6+7) - Col.3,Surfaced - W.B.M. - Col.4,Surfaced - B.T./C.C - Col.5,Surfaced - Total (Col. 4+5) - Col.6,Unsurfaced - Col.7
1,Andhra Pradesh,8,0.935,5.675,6.61,2
2,Arunachal Pradesh,0,0,0,0,NA
3,Assam ,NA,NA,NA,NA,NA
4,Bihar ,NA,NA,NA,NA,NA
5,Chhattisgarh,919,757,126,882,37
6,Goa,NA,NA,NA,NA,NA
7,Gujarat ,NA,NA,NA,NA,NA
8,Haryana ,NA,NA,NA,NA,NA
9,Himachal Pradesh ,NA,NA,NA,NA,NA
10,Jammu & Kashmir,NA,NA,NA,NA,NA
11,Jharkhand,552,12,491,503,50
12,Karnataka,109,10,78,88,21
13,Kerala,NA,NA,NA,NA,NA
14,Madhya Pradesh,40,11,16,27,13
15,Maharashtra,18,3,8,11,7
16,Manipur,NA,NA,NA,NA,NA
17,Meghalaya,NA,NA,NA,NA,NA
18,Mizoram,NA,NA,NA,NA,NA
19,Nagaland,NA,NA,NA,NA,NA
20,Odisha,484,13,453,465,19
21,Punjab,NA,NA,NA,NA,NA
22,Rajasthan ,NA,NA,NA,NA,NA
23,Sikkim,NA,NA,NA,NA,NA
24,Tamil Nadu,96,0,96,96,0
25,Telangana,8,1,6,7,2
26,Tripura,NA,NA,NA,NA,NA
27,Uttarakhand,NA,NA,NA,NA,NA
28,Uttar Pradesh ,NA,NA,NA,NA,NA
29,West Bengal,631,28,588,616,14
30,A & N Islands,NA,NA,NA,NA,NA
31,UT Chandigarh,NA,NA,NA,NA,NA
32,D & N Haveli,NA,NA,NA,NA,NA
33,Daman & Diu,NA,NA,NA,NA,NA
34,Delhi,NA,NA,NA,NA,NA
35,Lakshadweep,NA,NA,NA,NA,NA
36,Puducherry ,NA,NA,NA,NA,NA
Total,Total,2865,835,1866,2701,164
