Name of the States,National Highways,State Highways,District Roads,Rural Roads,Urban roads,Project Roads,Total road Length,Total Area,total Population,Road Density ,Road Density per 1000 Sq. Km - National Highways,Road Density per 1000 Sq. Km - State Highways,Road Density per 1000 Sq. Km - District Roads,Road Density per 1000 Sq. Km - Rural Roads,Road Density per 1000 Sq. Km - Urban roads,Road Density per 1000 Sq. Km - Project Roads
Andhra Pradesh,10207,15753,58083,217892,34878,9447,346260,275045,84580777,1258.92,37.11,57.28,211.18,792.2,126.81,34.35
Arunachal Pradesh,2537,13500,8731,20807,56,4924,50555,83743,1383727,603.69,30.3,161.21,104.26,248.46,0.67,58.8
Assam,3909,2530,6093,303672,5603,21803,343609,78438,31205576,4380.65,49.84,32.25,77.68,3871.49,71.43,277.96
Bihar,4877,4006,11145,258800,9184,2559,290571,94163,104099452,3085.83,51.79,42.54,118.36,2748.43,97.53,27.18
Chhattisgarh,3592,4176,11965,54308,12765,15772,102578,135192,25545198,758.76,26.57,30.89,88.5,401.71,94.42,116.66
Goa,293,280,1191,15618,902,323,18607,3702,1458545,5026.19,79.15,75.63,321.8,4218.72,243.71,87.19
Gujarat,6050,17201,30809,86030,30305,31347,201742,196244,60439692,1028.02,30.83,87.65,156.99,438.38,154.43,159.73
Haryana,2788,1801,21897,7027,14914,1594,50021,44212,25351462,1131.39,63.06,40.74,495.27,158.93,337.33,36.06
Himachal Pradesh,2607,827,3647,43490,3536,7792,61899,55673,6864602,1111.83,46.83,14.85,65.5,781.16,63.52,139.96
Jammu & Kashmir,2327,310,19695,65848,1939,18557,108677,222236,12541302,489.01,10.47,1.4,88.62,296.3,8.73,83.5
Jharkhand,2686,1232,10476,43564,6998,14106,79062,79716,32988134,991.8,33.69,15.45,131.42,546.49,87.79,176.96
Karnataka,7266,19521,49952,215928,41403,20435,354505,191791,61095297,1848.39,37.88,101.78,260.45,1125.85,215.87,106.55
Kerala,1781,4342,27470,181335,33174,8983,257085,38852,33406061,6617.03,45.84,111.75,707.05,4667.33,853.85,231.2
Madhya Pradesh,8219,11389,45524,232331,30691,35818,363972,308252,72626809,1180.76,26.66,36.95,147.68,753.7,99.57,116.2
Maharashtra,17728,38999,109530,414728,23543,21993,626521,307713,112374333,2036.06,57.61,126.74,355.95,1347.78,76.51,71.47
Manipur,1751,715,9467,15817,132,1298,29180,22327,2855794,1306.96,78.43,32.02,424.02,708.43,5.93,58.13
Meghalaya,1155,781,5023,36348,69,460,43836,22429,2966889,1954.42,51.5,34.82,223.95,1620.59,3.05,20.51
Mizoram,1423,170,1714,6124,2860,1083,13374,21081,1097206,634.43,67.5,8.07,81.31,290.52,135.64,51.39
Nagaland,1548,722,6467,26895,36,1035,36703,16579,1978502,2213.83,93.37,43.55,390.09,1622.22,2.16,62.44
Odisha,5430,4138,17877,233790,21010,25731,307976,155707,41974218,1977.92,34.87,26.57,114.81,1501.47,134.94,165.25
Punjab,3269,1103,6980,102267,18822,10195,142635,50362,27743338,2832.2,64.91,21.9,138.6,2030.63,373.72,202.44
Rajasthan,8916,15085,23670,213572,32448,19699,313390,342239,68548437,915.7,26.05,44.08,69.16,624.04,94.81,57.56
Sikkim,463,663,1469,10180,69,666,13510,7096,610577,1903.86,65.25,93.45,206.97,1434.56,9.71,93.91
Tamil Nadu,6741,11830,46496,169853,25050,10038,270007,130060,72147030,2076.02,51.83,90.96,357.5,1305.96,192.6,77.18
Tripura,854,1057,461,38823,581,1439,43215,10486,3673917,4121.21,81.44,100.8,43.96,3702.4,55.41,137.2
Uttar Pradesh,2949,4387,4906,29809,5514,5284,52848,240928,199812341,219.35,12.24,18.21,20.36,123.72,22.89,21.93
Uttarakhand,11376,6810,56314,255942,63803,42088,436333,53483,10086292,8158.34,212.7,127.33,1052.93,4785.49,1192.95,786.94
West Bengal,3074,3262,10449,204688,94948,12703,329126,88752,91276115,3708.38,34.64,36.76,117.74,2306.3,1069.82,143.13
A.& N.Islands,332,257,180,557,187,282,1794,8249,380581,217.5,40.25,31.14,21.77,67.51,22.68,34.16
Chandigarh,15,9,83,0,2432,0,2539,114,1055450,22274.56,131.58,77.98,728.07,0,21336.93,0
D.& N.Haveli,31,30,190,853,83,0,1187,491,343709,2417.57,63.14,61.1,386.97,1736.55,169.83,0
Daman & Diu,22,22,59,116,146,1,366,111,243247,3299.82,198.2,198.2,527.03,1048.65,1318.74,9.01
Delhi,70,0,2462,0,15012,52,17596,1483,16787941,11865.37,47.2,0,1660.15,0,10122.96,35.06
Lakshadweep,0,0,0,217,8,0,224,30,64473,7481.33,0,0,0,7226,255.33,0
Puducherry,64,0,793,2354,1040,41,4293,490,1247953,8760.93,130.61,0,1618.74,4804.63,2123.26,83.67
INDIA (1) ++,126350,186908,611268,3509582,534142,347547,5315797,3287469,1210854977,1616.99,38.43,56.85,185.94,1067.56,162.48,105.72
