Name of the States,Area,Rural Area (2011 census),Urban Area (2011 census),Rural Pop (2011 census),Urban Pop (2011 census),Total Population,Rural Road length (as on 31/3/ 2018),Urban Road length(as on 31/3/ 2018),Total Road Length(as on31/3/ 2018),Road Density for Entire States, Urban Road density, Rural Road density,Entire State Road length per 1000 sq km,Urban Road lngth per 1000 sq km,Rural Road lngth per 1000 sq km,Entire State Road length per 1000 pop,, 
Andhra Pradesh,275045,267191,7855,56361702,28219075,84580777,217892,34878,355204,1,4440,815,1291,1.24,3.87,4.2,,
Arunachal Pradesh,83743,NA,NA,1066358,317369,1383727,20807,56,59394,1,NA,NA,709,0.18,19.51,42.92,,
Assam,78438,77178,1260,26807034,4398542,31205576,303672,5603,348616,4,4447,3935,4444,1.27,11.33,11.17,,
Bihar,94163,91838,2325,92341436,11758016,104099452,258800,9184,293913,3,3951,2818,3121,0.78,2.8,2.82,,
Chhattisgarh,135192,131940,3252,19607961,5937237,25545198,54308,12765,106252,1,3926,412,786,2.15,2.77,4.16,,
Goa,3702,2937,765,551731,906814,1458545,15618,902,25055,7,1180,5317,6768,0.99,28.31,17.18,,
Gujarat,196244,188839,7405,34694609,25745083,60439692,86030,30305,202104,1,4092,456,1030,1.18,2.48,3.34,,
Haryana,44212,42236,1976,16509359,8842103,25351462,7027,14914,53283,1,7547,166,1205,1.69,0.43,2.1,,
Himachal Pradesh,55673,55402,271,6176050,688552,6864602,43490,3536,64722,1,13058,785,1163,5.14,7.04,9.43,,
Jammu & Kashmir (1) ++,222236,220990,1246,9108060,3433242,12541302,65848,1939,111227,1,1556,298,500,0.56,7.23,8.87,,
Jharkhand,79716,77292,2424,25055073,7933061,32988134,43564,6998,80285,1,2887,564,1007,0.88,1.74,2.43,,
Karnataka,191791,185777,6014,37469335,23625962,61095297,215928,41403,351034,2,6884,1162,1830,1.75,5.76,5.75,,
Kerala,38852,31253,7599,17471135,15934926,33406061,181335,33174,258896,7,4366,5802,6664,2.08,10.38,7.75,,
Madhya Pradesh,308252,300506,7746,52557404,20069405,72626809,232331,30691,359022,1,3962,773,1165,1.53,4.42,4.94,,
Maharashtra,307713,298619,9094,61556074,50818259,112374333,414728,23543,611867,2,2589,1389,1988,0.46,6.74,5.44,,
Manipur,22327,22148,180,2021640,834154,2855794,15817,132,30378,1,738,714,1361,0.16,7.82,10.64,,
Meghalaya,22429,22146,283,2371439,595450,2966889,36348,69,45469,2,242,1641,2027,0.12,15.33,15.33,,
Mizoram,21081,20494,587,525435,571771,1097206,6124,2860,14637,1,4871,299,694,5,11.66,13.34,,
Nagaland,16579,16336,243,1407536,570966,1978502,26895,36,37762,2,147,1646,2278,0.06,19.11,19.09,,
Odisha,155707,152355,3352,34970562,7003656,41974218,233790,21010,305083,2,6269,1535,1959,3,6.69,7.27,,
Punjab,50362,47847,2515,17344192,10399146,27743338,102267,18822,141693,3,7485,2137,2813,1.81,5.9,5.11,,
Rajasthan,342239,335606,6633,51500352,17048085,68548437,213572,32448,306255,1,4892,636,895,1.9,4.15,4.47,,
Sikkim,7096,7058,38,456999,153578,610577,10180,69,14798,2,1802,1442,2085,0.45,22.28,24.24,,
Tamil Nadu,130060,116424,13636,37229590,34917440,72147030,169853,25050,264814,2,1837,1459,2036,0.72,4.56,3.67,,
Tripura,10486,10094,392,2712464,961453,3673917,38823,581,43516,4,1483,3846,4150,0.6,14.31,11.84,,
Uttar Pradesh,240928,233366,7562,155317278,44495063,199812341,255942,63803,50753,0,8437,1097,211,1.43,1.65,0.25,,
Uttarakhand,53483,52581,902,7036954,3049338,10086292,29809,5514,425420,8,6113,567,7954,1.81,4.24,42.18,,
West Bengal,88752,83626,5126,62183113,29093002,91276115,204688,94948,326384,4,18524,2448,3677,3.26,3.29,3.58,,
A.& N.Islands,8249,8211,38,237093,143488,380581,557,187,1755,0,4933,68,213,1.3,2.35,4.61,,
Chandigarh,114,4,110,28991,1026459,1055450,0,2432,2594,23,22208,0,22757,2.37,0,2.46,,
D.& N.Haveli,491,445,46,183114,160595,343709,853,83,1220,2,1825,1915,2485,0.52,4.66,3.55,,
Daman & Diu,111,62,49,60396,182851,243247,116,146,375,3,3017,1863,3381,0.8,1.93,1.54,,
Delhi,1483,326,1157,419042,16368899,16787941,0,15012,17548,12,12980,0,11833,0.92,0,1.05,,
Lakshadweep,30,9,21,14141,50332,64473,217,8,239,8,368,23640,7981,0.15,15.33,3.71,,
Puducherry,490,335,155,395200,852753,1247953,2354,1040,4229,9,6731,7018,8630,1.22,5.96,3.39,,
INDIA (1) ++,3287469,3101474,102252,833748852,377106125,1210854977,3509582,534142,5315797,2,5224,1132,1617,1.42,4.21,4.39,,
