S.No.,State/UT,Total ,Surfaced
1,Andhra Pradesh ,13604,13604
2,Arunachal Pradesh,13500,13500
3,Assam,2530,2459
4,Bihar,4006,4006
5,Chhattisgarh,4176,4076
6,Goa,280,280
7,Gujarat,17201,16983
8,Haryana,1801,1801
9,Himachal Pradesh,827,782
10,Jammu & Kashmir,310,310
11,Jharkhand,1232,1232
12,Karnataka,19521,19497
13,Kerala,4342,4342
14,Madhya Pradesh,11389,11389
15,Maharashtra,38999,38134
16,Manipur,715,715
17,Meghalaya,781,781
18,Mizoram,170,170
19,Nagaland,722,722
20,Odisha,4138,4138
21,Punjab,1103,1103
22,Rajasthan,15085,15012
23,Sikkim,663,663
24,Tamil Nadu,11830,11830
25,Telangana,2149,2147
26,Tripura,1057,1057
27,Uttarakhand,4387,4373
28,Uttar Pradesh,6810,6810
29,West Bengal,3262,3262
30,Andaman & Nicobar  Island,257,257
31,Chandigarh,9,9
32,Dadra & Nagar Haveli,30,30
33,Daman & Diu,22,22
34,Delhi,0,0
35,Lakshadweep,0,0
36,Puducherry,0,0
Total,Total,186908,185495
