S.No.,Name of State/UT,Total ,Surfaced,,,,,,
1,Andhra Pradesh ,32711,31096,,,,,,
2,Arunachal Pradesh,8731,4659,,,,,,
3,Assam,6093,4755,,,,,,
4,Bihar,11145,11145,,,,,,
5,Chhattisgarh,11965,11648,,,,,,
6,Goa,1191,1191,,,,,,
7,Gujarat,30809,30228,,,,,,
8,Haryana,21897,21897,,,,,,
9,Himachal Pradesh,3647,3555,,,,,,
10,Jammu & Kashmir,19695,18990,,,,,,
11,Jharkhand,10476,10476,,,,,,
12,Karnataka,49952,49121,,,,,,
13,Kerala,27470,27470,,,,,,
14,Madhya Pradesh,45524,45524,,,,,,
15,Maharashtra,109530,99617,,,,,,
16,Manipur,9467,4844,,,,,,
17,Meghalaya,5023,4204,,,,,,
18,Mizoram,1714,1610,,,,,,                                                                    
19,Nagaland,6467,3691,,,,,,
20,Odisha,17877,17877,,,,,,
21,Punjab,6980,6980,,,,,,
22,Rajasthan,23670,23057,,,,,,
23,Sikkim,1469,732,,,,,,
24,Tamil Nadu,46496,46496,,,,,,
25,Telangana,25372,24069,,,,,,
26,Tripura,461,461,,,,,,
27,Uttarakhand,4906,4562,,,,,,
28,Uttar Pradesh,56314,56314,,,,,,
29,West Bengal,10449,10424,,,,,,
30,Andaman & Nicobar  Island,180,180,,,,,,
31,Chandigarh,83,83,,,,,,
32,Dadra & Nagar Haveli,190,190,,,,,,
33,Daman & Diu,59,59,,,,,,
34,Delhi,2462,2462,,,,,,
35,Lakshadweep,0,0,,,,,,
36,Puducherry,793,397,,,,,,
Total,Total,611268,580064,,,,,,
