S.No.,Name of State/UT,Total ,Surfaced
1,Andhra Pradesh,218190,130102
2,Arunachal Pradesh,50555,33476
3,Assam,343609,68718
4,Bihar,290571,163846
5,Chhattisgarh,102578,80655
6,Goa,18607,13944
7,Gujarat,201742,179429
8,Haryana,50021,43205
9,Himachal Pradesh,61899,42515
10,Jammu And Kashmir,108677,76583
11,Jharkhand,79062,60999
12,Karnataka,354505,213619
13,Kerala,257085,178223
14,Madhya Pradesh,363972,289159
15,Maharashtra,626521,494359
16,Manipur,29180,16899
17,Meghalaya,43836,15790
18,Mizoram,13374,8142
19,Nagaland,36703,17403
20,Odisha,307976,277642
21,Punjab,142635,131810
22,Rajasthan,313390,286745
23,Sikkim,13510,9094
24,Tamilnadu,270007,225038
25,Telangana,128071,89221
26,Tripura,43215,26394
27,Uttarakhand,52848,37930
28,Uttar Pradesh,436333,370127
29,West Bengal,329126,140057
30,A & N Islands,1794,1648
31,Chandigarh,2539,2539
32,Dadra  & Nagar Haveli    ,1187,1187
33,Daman & Diu   ,366,366
34,Delhi,17596,17596
35,Lakshadweep,224,224
36,Puducherry,4293,3607
Total *,Total *,5315797,3748292
