S.No.,Name of State/UT,Total ,Surfaced
1,Andhra Pradesh,135938,57142
2,Arunachal Pradesh,20807,9466
3,Assam,303672,52700
4,Bihar,258800,139219
5,Chhattisgarh,54308,42955
6,Goa,15618,11218
7,Gujarat,86030,76520
8,Haryana,7027,5614
9,Himachal Pradesh,43490,29174
10,Jammu And Kashmir,65848,45787
11,Jharkhand,43564,34918
12,Karnataka,215928,100711
13,Kerala,181335,114325
14,Madhya Pradesh,232331,188887
15,Maharashtra,414728,310630
16,Manipur,15817,8310
17,Meghalaya,36348,9365
18,Mizoram,6124,3705
19,Nagaland,26895,10613
20,Odisha,233790,223313
21,Punjab,102267,101621
22,Rajasthan,213572,202598
23,Sikkim,10180,6538
24,Tamilnadu,169853,130178
25,Telangana,81954,47172
26,Tripura,38823,23578
27,Uttarakhand,29809,20465
28,Uttar Pradesh,255942,232337
29,West Bengal,204688,52193
30,A & N Islands,557,488
31,Chandigarh,0,0
32,Dadra & Nagar Haveli ,853,853
33,Daman & Diu ,116,116
34,Delhi,0,0
35,Lakshadweep,217,217
36,Puducherry,2354,2126
Total (Excluding JRY Roads),Total (Excluding JRY Roads),3509582,2295053
Total (Including JRY Roads),Total (Including JRY Roads),4409582,2478255
