S.No.,Name of State/UT,Total ,Surfaced
1,Andhra Pradesh,24504,19846
2,Arunachal Pradesh,56,54
3,Assam,5603,3345
4,Bihar,9184,4091
5,Chhattisgarh,12765,11106
6,Goa,902,807
7,Gujarat,30305,24922
8,Haryana,14914,10836
9,Himachal Pradesh,3536,2977
10,Jammu And Kashmir,1939,1922
11,Jharkhand,6998,4890
12,Karnataka,41403,28324
13,Kerala,33174,26296
14,Madhya Pradesh,30691,24810
15,Maharashtra,23543,18900
16,Manipur,132,77
17,Meghalaya,69,65
18,Mizoram,2860,505
19,Nagaland,36,34
20,Odisha,21010,15936
21,Punjab,18822,16440
22,Rajasthan,32448,27617
23,Sikkim,69,67
24,Tamilnadu,25050,23656
25,Telangana,10374,9629
26,Tripura,581,424
27,Uttarakhand,5514,3926
28,Uttar Pradesh,63803,48830
29,West Bengal,94948,66672
30,A & N Islands,187,186
31,Chandigarh,2432,2432
32,Dadra & Nagar Haveli ,83,83
33,Daman & Diu ,146,146
34,Delhi,15012,15012
35,Lakshadweep,8,8
36,Puducherry,1040,988
Total ,Total ,534142,415859
