Year (as on 31st March) - Col.1,Total Road Length/Percentage Share - Col.2,National Highways - Col.3,State Highways - Col.4,Other PWD Roads - Col.5,District Roads - Col.6,Panchayat Raj Roads - Col.7,JRY & PMGSY Roads* - Col.8,Rural Roads built by State PWD / RWD - Col.9,Urban Roads - Col.10,Project Roads - Col.11,Surfaced - Col.12,Total - Col.13 (Col. 3+4+5+6+7+8+9+10+11)
1951,Total Road Length,19811,NA,173723,NA,206408,0,NA,0,0,157019,399942
1951,Percentage Share,5,0,43,NA,52,0,NA,0,0,39,100
1961,Total Road Length,23798,NA,257125,NA,197194,0,NA,46361,0,263052,524478
1961,Percentage Share,5,0,49,NA,38,0,NA,9,0,50,100
1971,Total Road Length,23838,56765,276833,NA,354530,0,NA,72120,130893,397948,914979
1971,Percentage Share,3,6,30,NA,39,0,NA,8,14,43,100
1981,Total Road Length,31671,94359,421895,NA,628865,0,NA,123120,185511,683676,1485421
1981,Percentage Share,2,6,28,NA,42,0,NA,8,12,46,100
1991,Total Road Length,33650,127311,509435,NA,931288,329142,NA,186799,209737,1090167,2327362
1991,Percentage Share,1,5,22,NA,40,14,NA,8,9,47,100
2001,Total Road Length,57737,132100,736001,NA,1068020,903996,NA,252001,223665,1601745,3373520
2001,Percentage Share,2,4,22,NA,32,27,NA,7,7,47,100
2002,Total Road Length,58112,137711,695335,NA,1134326,926697,NA,250295,224124,1661555,3426600
2002,Percentage Share,2,4,20,NA,33,27,NA,7,7,48,100
2003,Total Road Length,58112,134807,696960,NA,1155491,926697,NA,297259,259328,1701258,3528654
2003,Percentage Share,2,4,20,NA,33,26,NA,8,7,48,100
2004,Total Road Length,65569,133177,719257,NA,1189058,951511,NA,301310,261625,1760768,3621507
2004,Percentage Share,2,4,20,NA,33,26,NA,8,7,49,100
2005,Total Road Length,65569,144396,786230,NA,1299463,966976,NA,286707,259815,1795298,3809156
2005,Percentage Share,2,4,21,NA,34,25,NA,8,7,47,100
2006,Total Road Length,66590,148090,803669,NA,1318258,989867,NA,291991,262186,1858684,3880651
2006,Percentage Share,2,4,21,NA,34,26,NA,8,7,48,100
2007,Total Road Length,66590,152235,835003,NA,1372867,1020621,NA,300580,268505,1944758,4016401
2007,Percentage Share,2,4,21,NA,34,25,NA,7,7,48,100
2008,Total Road Length,66754,154522,863241,NA,1388750,1061809,NA,304327,270189,2036063,4109592
2008,Percentage Share,2,4,21,NA,34,26,NA,7,7,50,100
2009,Total Road Length,70548,158497,962880,NA,1514952,1114213,NA,373802,276617,2324504,4471510
2009,Percentage Share,2,4,22,NA,34,25,NA,8,6,52,100
2010,Total Road Length,70934,160177,977414,NA,1518205,1174330,NA,402448,278931,2432813,4582439
2010,Percentage Share,2,3,21,NA,33,26,NA,9,6,53,100
2011,Total Road Length,70934,163898,998895,NA,1530366,1219438,NA,411679,281628,2524682,4676838
2011,Percentage Share,2,4,21,NA,33,26,NA,9,6,54,100
2012,Total Road Length,76818,164360,1022287,NA,1587787,1250433,NA,464294,299415,2698590,4865394
2012,Percentage Share,2,3,21,NA,33,26,NA,10,6,55,100
2013,Total Road Length,79116,169227,1066747,NA,1725318,1434321,NA,446238,310955,3171002,5231922
2013,Percentage Share,2,3,20,NA,33,27,NA,9,6,61,100
2014,Total Road Length,91287,170818,1082267,NA,1800747,1503581,NA,457467,296319,25335,5402486
2014,Percentage Share,2,3,20,NA,33,28,NA,8,5,0,100
2015,Total Road Length,97991,167109,1101178,NA,1831043,1506212,NA,467106,301505,3341008,5472144
2015,Percentage Share,2,3,20,NA,33,28,NA,9,6,61,100
2016,Total Road Length,101011,176166,NA,561940,1860573,1526377,548387,509730,319109,3501906,5603293
2016,Percentage Share,2,3,NA,10,33,27,10,9,6,62,100
2017,Total Road Length,114158,175036,NA,586181,1935693,1584343,646880,526483,328897,3729781,5897671
2017,Percentage Share,2,3,NA,10,33,27,11,9,6,64,100
2018,Total Road Length,126350,186908,NA,611268,2002379,1631234,775970,534142,347547,3748291,6215797
2018,Percentage Share,2,3,NA,10,32,26,13,9,6,63,100
