YEAR,DESCRIPTION,Number of Aircraft
2007-08,AIRBUS A-310 FREIGHT,2
2007-08,AIRBUS A-310,6
2007-08,AIRBUS A-310 LEASED,7
2007-08,BOEING 747-300,1
2007-08,BOEING 747-400 (BOEING 747-437),6
2007-08,BOEING 747-400 LEASED,1
2007-08,BOEING 747-400 COM,1
2007-08,BOEING 777-200,5
2007-08,BOEING 777-222,4
2007-08,BOEING 777-300,3
2007-08,Total,36
2008-09,AIRBUS A-310 FREIGHT,2
2008-09,AIRBUS A-310,6
2008-09,AIRBUS A-310 LEASED,2
2008-09,BOEING 747-300,1
2008-09,BOEING 747-400 (BOEING 747-437),6
2008-09,BOEING 777-200,5
2008-09,BOEING 777-222,4
2008-09,BOEING 777-300,5
2008-09,Total,31
2009-10,AIRBUS A-310 FREIGHT,1
2009-10,AIRBUS A-310,4
2009-10,AIRBUS A-310 LEASED,2
2009-10,BOEING 747-400 (BOEING 747-437),6
2009-10,BOEING 777-200,8
2009-10,BOEING 777-222,3
2009-10,BOEING 777-300,9
2009-10,Total,33
2010-11,AIRBUS A-310 SB,4
2010-11,AIRBUS A-310 LEASED,2
2010-11,BOEING 747-400 (BOEING 747-437),3
2010-11,BOEING 777-200LR,8
2010-11,BOEING 777-300ER,12
2010-11,Total,29
2011-12,A-319,24
2011-12,A-320,20
2011-12,A-321,20
2011-12,A-330,2
2011-12,A- 310- SALE & LEASED BACK,3
2011-12,747 - 400 SALE & LEASED BACK,2
2011-12,BOEING 747-437,3
2011-12,777-200LR,8
2011-12,777- 300 ER,12
2011-12,Total,94
2012-13,A-319,24
2012-13,A-320,20
2012-13,A-321,20
2012-13,A-330,2
2012-13,Boeing747-400,3
2012-13,777-200LR,8
2012-13,777-300ER,12
2012-13,CRJ,4
2012-13,Total,93
2013-14,A-319,22
2013-14,A-320,18
2013-14,A-321,20
2013-14,A-330,2
2013-14,BOEING 747-400,3
2013-14,777-200LR,6
2013-14,777-300ER,12
2013-14,B-787,13
2013-14,Total,96
2014-15,A-319,22
2014-15,A-320,20
2014-15,A-321,20
2014-15,Boeing747-400,5
2014-15,777-200LR,3
2014-15,777-300ER,12
2014-15,B-787,19
2014-15,Total,101
2015-16,Airbus 319,22
2015-16,Airbus 320,24
2015-16,Airbus 321,20
2015-16,Boeing747-400,5
2015-16,Boeing 777-200LR,3
2015-16,Boeing 777-300ER,12
2015-16,Boeing 787,21
2015-16,Total,107
2016-17,BOEING 747-400,5
2016-17,777-200LR,3
2016-17,777-300ER,12
2016-17,B-787,23
2016-17,A-319,22
2016-17,A-320,26
2016-17,A-321,20
2016-17,Total,111
