YEAR,DESCRIPTION,Number of Aircraft
2007-08,Airbus 310,13
2007-08,Airbus 300,3
2007-08,Airbus 310 FREIGHT,2
2007-08,Airbus 319,11
2007-08,Airbus 319-131,3
2007-08,Airbus 320,77
2007-08,Airbus 320-200,17
2007-08,Airbus 320-232,13
2007-08,Airbus 321,6
2007-08,Airbus 321-232,8
2007-08,Airbus 330,2
2007-08,Airbus 330-200,8
2007-08,ATR 42-320,7
2007-08,ATR 72-212A,35
2007-08,ATR 72-500,9
2007-08,Boeing 737 900,4
2007-08,Boeing 737/200,11
2007-08,Boeing 737-300,2
2007-08,Boeing 737-400,7
2007-08,Boeing 737-700,19
2007-08,Boeing 737-800,59
2007-08,Boeing 747-300,1
2007-08,Boeing 747-400,2
2007-08,Boeing 747-400 (Boeing 747-437),6
2007-08,Boeing 747-800,18
2007-08,Boeing 777-200,5
2007-08,Boeing 777-222,4
2007-08,Boeing 777-300,13
2007-08,CRJ- 200,7
2007-08,CRJ-700,2
2007-08,Dornier DO228,2
2007-08,EMBRAER 170-175,5
2007-08,Total,381
2008-09,Airbus 310,8
2008-09,Airbus 310 FREIGHT,2
2008-09,Airbus 319,15
2008-09,Airbus 319-131,3
2008-09,Airbus 320,43
2008-09,Airbus 320-200,19
2008-09,Airbus 320-232,32
2008-09,Airbus 321,12
2008-09,Airbus 321-232,8
2008-09,Airbus 330,2
2008-09,Airbus 330-200,12
2008-09,Airbus 330-223,5
2008-09,ATR 42-320,7
2008-09,ATR 72-212A,27
2008-09,ATR 72-500,14
2008-09,ATR42-500,8
2008-09,Boeing 737/200,6
2008-09,Boeing 737-300,1
2008-09,Boeing 737-400,4
2008-09,Boeing 737-700,20
2008-09,Boeing 737-800,56
2008-09,Boeing 737-900,7
2008-09,Boeing 747-300,1
2008-09,Boeing 747-400 (Boeing 747-437),6
2008-09,Boeing 747-800,21
2008-09,Boeing 777-200,5
2008-09,Boeing 777-222,4
2008-09,Boeing 777-300,15
2008-09,CRJ- 200,7
2008-09,CRJ-700,3
2008-09,EMBRAER 170-100LR,2
2008-09,EMBRAER 170-200LR,3
2008-09,Total,378
2009-10,Airbus 310,6
2009-10,Airbus 310 FREIGHT,1
2009-10,Airbus 319,24
2009-10,Airbus 319-131,3
2009-10,Airbus 320,39
2009-10,Airbus 320-200,25
2009-10,Airbus 320-232,23
2009-10,Airbus 321,19
2009-10,Airbus 321-232,8
2009-10,Airbus 330,2
2009-10,Airbus 330-200,12
2009-10,Airbus 330-223,5
2009-10,ATR 42-320,7
2009-10,ATR 72-212A,25
2009-10,ATR 72-500,14
2009-10,ATR42-500,2
2009-10,Boeing 737-200,6
2009-10,Boeing 737-300,1
2009-10,Boeing 737-400,1
2009-10,Boeing 737-700,20
2009-10,Boeing 737-800,61
2009-10,Boeing 737-900,7
2009-10,Boeing 747-400 (Boeing 747-437),6
2009-10,Boeing 747-800,25
2009-10,Boeing 777-200,8
2009-10,Boeing 777-222,3
2009-10,Boeing 777-300,19
2009-10,CRJ- 200,7
2009-10,CRJ-700,4
2009-10,Total,383
2010-11,Airbus 310,6
2010-11,Airbus 319,24
2010-11,Airbus 319-131,3
2010-11,Airbus 320,31
2010-11,Airbus 320-200,38
2010-11,Airbus 320-232,23
2010-11,Airbus 321,20
2010-11,Airbus 321-232,8
2010-11,Airbus 330,2
2010-11,Airbus 330-200,12
2010-11,Airbus 330-223,5
2010-11,ATR 42-320,4
2010-11,ATR 72-212A,25
2010-11,ATR 72-500,20
2010-11,ATR42-500,2
2010-11,Boeing 737/200,6
2010-11,Boeing 737-900,2
2010-11,Boeing 737-700,20
2010-11,Boeing 737-800,52
2010-11,Boeing 747-400 (Boeing 747-437),3
2010-11,Boeing 777-200LR,8
2010-11,Boeing 777-300,22
2010-11,CRJ-700,4
2010-11,Total,340
2011-12,Airbus 310,3
2011-12,Airbus 319,24
2011-12,Airbus 320,32
2011-12,Airbus 320-200,55
2011-12,Airbus 321,20
2011-12,Airbus 330,2
2011-12,Airbus 330-200,12
2011-12,ATR 42-320,7
2011-12,ATR 72-500,20
2011-12,Boeing 747-437,3
2011-12,Boeing 737-700,20
2011-12,Boeing 737-800,82
2011-12,Boeing 737-900,11
2011-12,Boeing 747 - 400,2
2011-12,Boeing 747-800,21
2011-12,Boeing 777- 300 ER,12
2011-12,Boeing 777-200LR,8
2011-12,Boeing 777-300,10
2011-12,Bombardier DHC-8-402,7
2011-12,CRJ-700,4
2011-12,Total,355
2012-13,Airbus 319,24
2012-13,Airbus 320,34
2012-13,Airbus 320-200,66
2012-13,Airbus 321,20
2012-13,Airbus 330,2
2012-13,Airbus 330-200,15
2012-13,ATR 42-320,7
2012-13,ATR 72-500,18
2012-13,Boeing 737-700,18
2012-13,Boeing 737-800,85
2012-13,Boeing 737-900,12
2012-13,Boeing 747-800,21
2012-13,Boeing 777- 300 ER,12
2012-13,Boeing 777-200LR,8
2012-13,Boeing 777-300,10
2012-13,Boeing747-400,3
2012-13,Bombardier DHC-8-402,15
2012-13,CRJ,4
2012-13,CRJ-700,4
2012-13,Total,378
2013-14,Airbus 319,22
2013-14,Airbus 320,36
2013-14,Airbus 320-200,89
2013-14,Airbus 321,20
2013-14,Airbus 330,2
