YEAR,DESCRIPTION,Number of Aircraft
2007-08,BOEING B-737/200,11
2007-08,CRJ-700,2
2007-08,ATR 42-320,7
2007-08,Total,20
2008-09,BOEING B-737/200,6
2008-09,CRJ-700,3
2008-09,ATR 42-320,7
2008-09,Total,16
2009-10,BOEING B-737/200,6
2009-10,CRJ-700,4
2009-10,ATR 42-320,7
2009-10,Total,17
2010-11,BOEING B-737/200,6
2010-11,CRJ-700,4
2010-11,ATR 42-320,4
2010-11,Total,14
2011-12,ATR 42-320,7
2011-12,CRJ-700,4
2011-12,Total,11
2012-13,ATR 42-320,7
2012-13,CRJ-700,4
2012-13,Total,11
2013-14,ATR 42-320,4
2013-14,CRJ-700,4
2013-14,Total,8
2014-15,ATR 42-320,4
2014-15,CRJ-700,4
2014-15,ATR 72-212A,2
2014-15,Total,10
2015-16,ATR 42-320,3
2015-16,CRJ-700,3
2015-16,ATR 72-212A,5
2015-16,Total,11
2016-17,ATR 42-320,2
2016-17,ATR-72-212A(600),1
2016-17,CRJ- 700,8
2016-17,Total,11
