YEAR,DESCRIPTION,Number of Aircraft
2007-08,BOEING 737-400,4
2007-08,BOEING 737-700,13
2007-08,BOEING 737-800,35
2007-08,BOEING 737 900,2
2007-08,ATR 72-500,9
2007-08,AIRBUS 340-300E,0
2007-08,AIRBUS 330-200,8
2007-08,B777-300ER,10
2007-08,Total,81
2008-09,BOEING 737-400,2
2008-09,BOEING 737-700,13
2008-09,BOEING 737-800,35
2008-09,BOEING 737 900,2
2008-09,ATR 72-500,14
2008-09,AIRBUS 330-200,12
2008-09,B777-300ER,10
2008-09,Total,88
2009-10,BOEING 737-400,0
2009-10,BOEING 737-700,11
2009-10,BOEING 737-800,39
2009-10,BOEING 737 900,2
2009-10,ATR 72-500,14
2009-10,AIRBUS 330-200,12
2009-10,B777-300ER,10
2009-10,Total,88
2010-11,BOEING 737-700,11
2010-11,BOEING 737-800,43
2010-11,BOEING 737 900,2
2010-11,ATR 72-500,20
2010-11,AIRBUS 330-200,12
2010-11,B777-300ER,10
2010-11,Total,98
2011-12,BOEING 737-700,11
2011-12,BOEING 737-800,47
2011-12,BOEING 737 900,3
2011-12,ATR 72-500,20
2011-12,A330-200,12
2011-12,B777-300ER,10
2011-12,Total,103
2012-13,BOEING 737-700,11
2012-13,BOEING 737-800,48
2012-13,BOEING 737 900,4
2012-13,ATR 72-500,18
2012-13,AIRBUS 330-200,15
2012-13,B777-300ER,10
2012-13,Total,106
2013-14,BOEING 737-700,3
2013-14,BOEING 737-800,54
2013-14,BOEING 737 900,4
2013-14,ATR 72-500,18
2013-14,AIRBUS 330-200,12
2013-14,BOEING 777-300ER,10
2013-14,Total,101
2014-15,BOEING 737-700,3
2014-15,BOEING 737-800,59
2014-15,BOEING 737-900,5
2014-15,ATR72-500/600,18
2014-15,AIRBUS 330-200/300,12
2014-15,BOEING 777-300ER,10
2014-15,Total,107
2015-16,BOEING 737-700,3
2015-16,BOEING 737-800,59
2015-16,BOEING 737-900,6
2015-16,ATR72-500/600,18
2015-16,AIRBUS 330-200/300,12
2015-16,BOEING 777-300ER,10
2015-16,Total,108
2016-17,A 330- 200 / 300,9
2016-17,ATR 72 - 500 / 600,18
2016-17,B- 737 - 800,59
2016-17,B- 737 - 900,6
2016-17,B 777- 300 ER,10
2016-17,B-737 - 700,2
2016-17,Total,104
