YEAR,DESCRIPTION,Number of Aircraft
2007-08,B-737-300,2
2007-08,B-737-400,3
2007-08,B-737-700,6
2007-08,B-737-800,7
2007-08,CRJ-200,7
2007-08,Total,25
2008-09,B-737-300,1
2008-09,B-737-400,2
2008-09,B-737-700,7
2008-09,B-737-800,7
2008-09,CRJ-200,7
2008-09,Total,24
2009-10,BOEING 737-300,1
2009-10,BOEING 737-400,1
2009-10,BOEING 737-700,9
2009-10,BOEING 737-800,7
2009-10,CRJ-200,7
2009-10,Total,25
2010-11,BOEING 737-700,9
2010-11,BOEING 737-800,9
2010-11,Total,18
2011-12,Boeing 737-700,9
2011-12,Boeing 737-800,8
2011-12,Boeing 737-900ER,2
2011-12,Total,19
2012-13,Boeing 737-700,7
2012-13,Boeing 737-800,6
2012-13,Boeing 737-900ER,2
2012-13,Total,15
2013-14,Boeing 737-700,5
2013-14,Boeing 737-800,5
2013-14,Boeing 737-900ER,2
2013-14,Total,12
2014-15,Boeing 737-700,3
2014-15,Boeing 737-800,5
2014-15,Boeing 737-900ER,1
2014-15,Total,9
2015-16,Boeing 737-700,3
2015-16,Boeing 737-800,5
2015-16,Total,8
2016-17,Boeing 737 - 700,3
2016-17,Boeing 737 - 800,5
2016-17,Total,8
