YEAR,DESCRIPTION,Number of Aircraft
2007-08,Boeing 737-800,17
2007-08,B737-900ER,2
2007-08,Total,19
2008-09,Boeing 737-800,14
2008-09,B737-900ER,5
2008-09,Total,19
2009-10,Boeing 737-800,15
2009-10,B737-900ER,5
2009-10,Total,20
2010-11,Boeing 737-800,22
2010-11,B737-900ER,5
2010-11,Total,27
2011-12,Boeing 737-800,27
2011-12,B737-900ER,6
2011-12,Bombardier DHC-8-402,7
2011-12,Total,40
2012-13,Boeing 737-800,31
2012-13,B737-900ER,6
2012-13,Bombardier DHC-8-402,15
2012-13,Total,52
2012-13,Boeing 737-800,37
2012-13,B737-900ER,6
2012-13,Bombardier DHC-8-402,15
2012-13,Total,58
2014-15,Boeing 737-800,18
2014-15,Boeing 737-900ER,1
2014-15,Q-400,15
2014-15,Total,34
2015-16,Boeing 737-800,21
2015-16,Boeing 737-900ER,4
2015-16,DH8,13
2015-16,A319BH,1
2015-16,A320BH,2
2015-16,737-700,2
2015-16,Total,43
2016-17,737 - 700,2
2016-17,737 - 800,26
2016-17,737 - 900 ER,4
2016-17,DH8,17
2016-17,Total,49
