YEAR,NO. OF AIRCRAFT AT YEAR END,UTILIZATION OF AIRCRAFT DURING THE YEAR - NUMBER OF AIRCRAFT DEPARTURES - REVENUE FLIGHTS - SCHEDULED,UTILIZATION OF AIRCRAFT DURING THE YEAR - NUMBER OF AIRCRAFT DEPARTURES - REVENUE FLIGHTS - NON-SCHEDULED,UTILIZATION OF AIRCRAFT DURING THE YEAR - NUMBER OF AIRCRAFT DEPARTURES - NON REVENUE FLIGHTS,UTILIZATION OF AIRCRAFT DURING THE YEAR - NUMBER OF AIRCRAFT DEPARTURES - ALL FLIGHTS,UTILIZATION OF AIRCRAFT DURING THE YEAR - AIRCRAFT HOURS FLOWN - REVENUE FLIGHTS - SCHEDULED,UTILIZATION OF AIRCRAFT DURING THE YEAR - AIRCRAFT HOURS FLOWN - REVENUE FLIGHTS - NON-SCHEDULED,UTILIZATION OF AIRCRAFT DURING THE YEAR - AIRCRAFT HOURS FLOWN - NON REVENUE FLIGHTS,UTILIZATION OF AIRCRAFT DURING THE YEAR - AIRCRAFT HOURS FLOWN - ALL FLIGHTS,UTILIZATION OF AIRCRAFT DURING THE YEAR - HOURS FLOWN PER AIRCRAFT
2007-08,18,18158,0,118,18276,52305,0,321,52626,2905.833333
2008-09,21,22969,0,229,23198,67104,0,489,67593,3195.428571
2009-10,25,27005,0,277,27282,78141,0,373,78514,3125.64
2010-11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2011-12,21,18486,0,0,18486,58339,0,0,58339,2778.047619
2012-13,21,18486,0,0,18486,58339,0,0,58339,2778.047619
2013-14,21,20889,0,0,20889,67315,0,0,67315,3205.47619
2014-15,17,19597,45,0,19642,58968,23,0,58991,3470.058824
2015-16,18,20068,0,0,20068,63055,0,0,63055,3503.055556
2016-17,23,26084,0,0,26084,83495,0,0,83495,3630.217391
