YEAR,NO. OF AIRCRAFT AT YEAR END,UTILIZATION OF AIRCRAFT DURING THE YEAR - NUMBER OF AIRCRAFT DEPARTURES - REVENUE FLIGHTS - SCHEDULED,UTILIZATION OF AIRCRAFT DURING THE YEAR - NUMBER OF AIRCRAFT DEPARTURES - REVENUE FLIGHTS - NON-SCHEDULED,UTILIZATION OF AIRCRAFT DURING THE YEAR - NUMBER OF AIRCRAFT DEPARTURES - NON REVENUE FLIGHTS,UTILIZATION OF AIRCRAFT DURING THE YEAR - NUMBER OF AIRCRAFT DEPARTURES - ALL FLIGHTS,UTILIZATION OF AIRCRAFT DURING THE YEAR - AIRCRAFT HOURS FLOWN - REVENUE FLIGHTS - SCHEDULED,UTILIZATION OF AIRCRAFT DURING THE YEAR - AIRCRAFT HOURS FLOWN - REVENUE FLIGHTS - NON-SCHEDULED,UTILIZATION OF AIRCRAFT DURING THE YEAR - AIRCRAFT HOURS FLOWN - NON REVENUE FLIGHTS,UTILIZATION OF AIRCRAFT DURING THE YEAR - AIRCRAFT HOURS FLOWN - ALL FLIGHTS,UTILIZATION OF AIRCRAFT DURING THE YEAR - HOURS FLOWN PER AIRCRAFT
2007-08,381,596711,1851,1340,599902,1144253,8944,4382,1157579,3026.8
2008-09,378,545222,2524,4339,552085,1128885,31275,3847,1164007,3069.2
2009-10,383,585685,2178,1694,589557,1195930,12648,39881,1636818,3155.6
2010-11,340,460296,851,786,461933,1138105,3310,1763,1143178,3357.1
2011-12,355,589341,5732,196,595269,1198703,6062,345,1205110,3393.7
2012-13,378,991649,2706,284,994541,1224943,3091,490,1228279,3248.8
2013-14,395,694639,2790,174,697641,1400243,3196,388,1403633,3553
2014-15,409,744676,2883,134,747693,1142742,3365,63,1146170,2802.2
2015-16,448,822984,3127,0,826111,1633386,4105,0,1637491,3655.1
2016-17,493,939109,3680,0,942789,1911128,5394,0,1916522,3887.5
