YEAR,NO. OF AIRCRAFT AT YEAR END,UTILIZATION OF AIRCRAFT DURING THE YEAR - NUMBER OF AIRCRAFT DEPARTURES - REVENUE FLIGHTS - SCHEDULED,UTILIZATION OF AIRCRAFT DURING THE YEAR - NUMBER OF AIRCRAFT DEPARTURES - REVENUE FLIGHTS - NON-SCHEDULED,UTILIZATION OF AIRCRAFT DURING THE YEAR - NUMBER OF AIRCRAFT DEPARTURES - NON REVENUE FLIGHTS,UTILIZATION OF AIRCRAFT DURING THE YEAR - NUMBER OF AIRCRAFT DEPARTURES - ALL FLIGHTS,UTILIZATION OF AIRCRAFT DURING THE YEAR - AIRCRAFT HOURS FLOWN - REVENUE FLIGHTS - SCHEDULED,UTILIZATION OF AIRCRAFT DURING THE YEAR - AIRCRAFT HOURS FLOWN - REVENUE FLIGHTS - NON-SCHEDULED,UTILIZATION OF AIRCRAFT DURING THE YEAR - AIRCRAFT HOURS FLOWN - NON REVENUE FLIGHTS,UTILIZATION OF AIRCRAFT DURING THE YEAR - AIRCRAFT HOURS FLOWN - ALL FLIGHTS,UTILIZATION OF AIRCRAFT DURING THE YEAR - HOURS FLOWN PER AIRCRAFT
2007-08,20,14056,2,0,14058,17527,2,0,17529,876.5
2008-09,16,15012,0,0,15012,18355,0,0,18355,1147.2
2009-10,17,16957,0,0,16957,21541,0,0,21541,1267.1
2010-11,14,16230,0,0,16230,22276,0,0,22276,1591.1
2011-12,11,14359,0,0,14359,19951,0,0,19951,1813.7
2012-13,11,10171,0,0,10171,16765,0,0,16765,1524.1
2013-14,8,9097,0,0,9097,14119,0,0,14119,1764.9
2014-15,10,9181,18,0,9199,11238,21,0,11259,1125.9
2015-16,11,10698,52,0,10750,16124,53,0,16177,1470.6
2016-17,11,15296,165,0,15461,19277,115,0,19392,1762.9
