YEAR,NO. OF AIRCRAFT AT YEAR END,UTILIZATION OF AIRCRAFT DURING THE YEAR - NUMBER OF AIRCRAFT DEPARTURES - REVENUE FLIGHTS - SCHEDULED,UTILIZATION OF AIRCRAFT DURING THE YEAR - NUMBER OF AIRCRAFT DEPARTURES - REVENUE FLIGHTS - NON-SCHEDULED,UTILIZATION OF AIRCRAFT DURING THE YEAR - NUMBER OF AIRCRAFT DEPARTURES - NON REVENUE FLIGHTS,UTILIZATION OF AIRCRAFT DURING THE YEAR - NUMBER OF AIRCRAFT DEPARTURES - ALL FLIGHTS,UTILIZATION OF AIRCRAFT DURING THE YEAR - AIRCRAFT HOURS FLOWN - REVENUE FLIGHTS - SCHEDULED,UTILIZATION OF AIRCRAFT DURING THE YEAR - AIRCRAFT HOURS FLOWN - REVENUE FLIGHTS - NON-SCHEDULED,UTILIZATION OF AIRCRAFT DURING THE YEAR - AIRCRAFT HOURS FLOWN - NON REVENUE FLIGHTS,UTILIZATION OF AIRCRAFT DURING THE YEAR - AIRCRAFT HOURS FLOWN - ALL FLIGHTS,UTILIZATION OF AIRCRAFT DURING THE YEAR - HOURS FLOWN PER AIRCRAFT
2007-08,17,30225,0,0,30225,54540,0,0,54540,3208.2
2008-09,19,40199,0,0,40199,73338,0,0,73338,3859.9
2009-10,25,51520,0,0,51520,93490,0,0,93490,3739.6
2010-11,38,69423,0,0,69423,125014,0,0,125014,3289.8
2011-12,55,98416,0,0,98416,173159,0,0,173159,3148.3
2012-13,66,131237,0,0,131237,209053,0,0,209053,3167.5
2013-14,77,158488,0,0,158488,297653,0,0,297653,3865.6
2014-15,94,192920,0,0,192920,354276,0,0,354276,3768.9
2015-16,107,236385,12,0,236397,436739,19,0,436758,4081.9
2016-17,131,300526,0,0,300526,558565,0,0,558565,4263.9
