YEAR,NO. OF AIRCRAFT AT YEAR END,UTILIZATION OF AIRCRAFT DURING THE YEAR - NUMBER OF AIRCRAFT DEPARTURES - REVENUE FLIGHTS - SCHEDULED,UTILIZATION OF AIRCRAFT DURING THE YEAR - NUMBER OF AIRCRAFT DEPARTURES - REVENUE FLIGHTS - NON-SCHEDULED,UTILIZATION OF AIRCRAFT DURING THE YEAR - NUMBER OF AIRCRAFT DEPARTURES - NON REVENUE FLIGHTS,UTILIZATION OF AIRCRAFT DURING THE YEAR - NUMBER OF AIRCRAFT DEPARTURES - ALL FLIGHTS,UTILIZATION OF AIRCRAFT DURING THE YEAR - AIRCRAFT HOURS FLOWN - REVENUE FLIGHTS - SCHEDULED,UTILIZATION OF AIRCRAFT DURING THE YEAR - AIRCRAFT HOURS FLOWN - REVENUE FLIGHTS - NON-SCHEDULED,UTILIZATION OF AIRCRAFT DURING THE YEAR - AIRCRAFT HOURS FLOWN - NON REVENUE FLIGHTS,UTILIZATION OF AIRCRAFT DURING THE YEAR - AIRCRAFT HOURS FLOWN - ALL FLIGHTS,UTILIZATION OF AIRCRAFT DURING THE YEAR - HOURS FLOWN PER AIRCRAFT
2007-08,81,126503,173,215,126891,267310,203,440,267953,3302.6
2008-09,88,133264,472,215,133951,312511,496,420,313427,3556.9
2009-10,88,130569,539,180,131288,305571,563,390,306524,3478.8
2010-11,98,146876,254,180,147310,349438,333,390,350161,3569.1
2011-12,103,175398,248,0,175646,399766,294,0,400060,3884.1
2012-13,106,168914,339,0,169206,373260,396,0,373656,3525.1
2013-14,101,173347,376,0,173723,376348,415,0,376763,3730.3
2014-15,107,175939,468,0,176407,386990,470,0,387460,3621.1
2015-16,108,202228,590,0,202818,408321,752,0,409073,3787.7
2016-17,104,201633,679,0,202312,460663,921,0,461584,4438.3
