YEAR,NO. OF AIRCRAFT AT YEAR END,UTILIZATION OF AIRCRAFT DURING THE YEAR - NUMBER OF AIRCRAFT DEPARTURES - REVENUE FLIGHTS - SCHEDULED,UTILIZATION OF AIRCRAFT DURING THE YEAR - NUMBER OF AIRCRAFT DEPARTURES - REVENUE FLIGHTS - NON-SCHEDULED,UTILIZATION OF AIRCRAFT DURING THE YEAR - NUMBER OF AIRCRAFT DEPARTURES - NON REVENUE FLIGHTS,UTILIZATION OF AIRCRAFT DURING THE YEAR - NUMBER OF AIRCRAFT DEPARTURES - ALL FLIGHTS,UTILIZATION OF AIRCRAFT DURING THE YEAR - AIRCRAFT HOURS FLOWN - REVENUE FLIGHTS - SCHEDULED,UTILIZATION OF AIRCRAFT DURING THE YEAR - AIRCRAFT HOURS FLOWN - REVENUE FLIGHTS - NON-SCHEDULED,UTILIZATION OF AIRCRAFT DURING THE YEAR - AIRCRAFT HOURS FLOWN - NON REVENUE FLIGHTS,UTILIZATION OF AIRCRAFT DURING THE YEAR - AIRCRAFT HOURS FLOWN - ALL FLIGHTS,UTILIZATION OF AIRCRAFT DURING THE YEAR - HOURS FLOWN PER AIRCRAFT
2007-08,25,40423,22,247,40692,76481,33,379,76893,3060.6
2008-09,24,40838,379,201,41418,75601,563,328,76492,3173.5
2009-10,25,39531,81,283,39895,69918,152,346,70416,2802.8
2010-11,18,38905,36,0,38941,68380,51,0,68431,3801.7
2011-12,19,41962,30,0,41992,70218,51,0,70269,3698.4
2012-13,15,38145,27,0,38172,57920,31,0,57951,3863.4
2013-14,12,31975,11,0,31986,48837,21,0,48858,4071.5
2014-15,9,26297,5,0,26302,44379,21,0,44400,4933.3
2015-16,8,21657,15,0,21672,37011,32,0,37043,4630.4
2016-17,8,23659,14,0,23673,38499,8,0,38507,4813.4
