YEAR,NO. OF AIRCRAFT AT YEAR END,UTILIZATION OF AIRCRAFT DURING THE YEAR - NUMBER OF AIRCRAFT DEPARTURES - REVENUE FLIGHTS - SCHEDULED,UTILIZATION OF AIRCRAFT DURING THE YEAR - NUMBER OF AIRCRAFT DEPARTURES - REVENUE FLIGHTS - NON-SCHEDULED,UTILIZATION OF AIRCRAFT DURING THE YEAR - NUMBER OF AIRCRAFT DEPARTURES - NON REVENUE FLIGHTS,UTILIZATION OF AIRCRAFT DURING THE YEAR - NUMBER OF AIRCRAFT DEPARTURES - ALL FLIGHTS,UTILIZATION OF AIRCRAFT DURING THE YEAR - AIRCRAFT HOURS FLOWN - REVENUE FLIGHTS - SCHEDULED,UTILIZATION OF AIRCRAFT DURING THE YEAR - AIRCRAFT HOURS FLOWN - REVENUE FLIGHTS - NON-SCHEDULED,UTILIZATION OF AIRCRAFT DURING THE YEAR - AIRCRAFT HOURS FLOWN - NON REVENUE FLIGHTS,UTILIZATION OF AIRCRAFT DURING THE YEAR - AIRCRAFT HOURS FLOWN - ALL FLIGHTS,UTILIZATION OF AIRCRAFT DURING THE YEAR - HOURS FLOWN PER AIRCRAFT
2007-08*,146,173090,1583,874,175547,440093,8631,3551,452275,3073.5
2008-09*,140,158485,1626,3923,164034,410147,30142,3099,443388,3144.9
2009-10*,151,162550,1450,1231,165231,415514,11775,39303,466592,2829.7
2010-11*,120,77226,372,606,78204,374503,2526,1374,378403,3141.9
2011-12*,126,164266,5454,196,169916,394229,5717,345,400291,3174.2
2012-13,125,162541,2340,142,165023,374872,2664,245,377781,3020.3
2013-14,125,166620,2403,87,169110,424434,2732,194,427360,3417.3
2014-15,128,167581,2282,0,169863,429132,2589,0,431721,3372.8
2015-16,136,170778,2295,0,173073,457307,2936,0,460243,3384.1
2016-17,145,186565,2641,0,189206,503808,3741,0,507549,3500.3
