Sr. No.,Description,Value
1,Fleet Size (As on 31st March),4
2,Total Number of Employees (as on 31st March),445
2.1,Total Number of Employees (as on 31st March) - Pilots and co -pilots,23
2.2,Total Number of Employees (as on 31st March) - Other flight crew,14
2.3,Total Number of Employees (as on 31st March) - Cabin crew,35
2.4,Total Number of Employees (as on 31st March) - Maintenance and overhaul personnel,109
2.5,Total Number of Employees (as on 31st March) - Ticketing and sales personnel,88
2.6,Total Number of Employees (as on 31st March) - All other personnel,176
3,No. of Employees per aircraft,111
4,Operating Revenue per Employee (Rs. In Million),2.83
5,Operating Expenses per Employee (Rs. In million),4.65
6,Operating Revenue per RPKM (Rs.),6.66
7,Operating Expenses per RPKM (Rs.),10.93
8,Operating Results (Rs. In million),-807.7
9,Balance of Non Operating items (Rs. In Million),0
10,Net Profit /Loss Before Income Tax (Rs. In million),-807.7
11,Net Profit /Loss After Income Tax (Rs. In million),-807.7
12,Profit or loss after tax and after extra ordinary items (Rs. In million),-807.7
