YEAR,CATEGORY OF STAFF - PILOTS & CO-PILOTS,CATEGORY OF STAFF - OTHER FLIGHT PERSONNEL,CATEGORY OF STAFF - MAINTENANCE AND OVERHAUL PERSONNEL,CATEGORY OF STAFF - TICKETING AND SALES PERSONNEL,CATEGORY OF STAFF - OTHERS,CATEGORY OF STAFF - GRAND TOTAL,Note of: CATEGORY OF STAFF - MAINTENANCE AND OVERHAUL PERSONNEL
2007-08,548,2198,2812,2948,6424,14930,NA
2008-09,562,2116,3145,2511,6004,14338,NA
2009-10,635,1973,3085,2550,5287,13530,NA
2010-11,690,1852,2878,2305,4929,12654,NA
2011-12,1543,3034,7205,6024,9115,26921,NA
2012-13,1487,2887,7183,5299,8192,25048,NA
2013-14,1494,2564,6698,4907,7381,23044,NA
2014-15,1457,2321,5931,4221,7383,21313,NA
2015-16,1411,2116,913,4577,3863,12880,*
2016-17,1378,1984,754,4038,3758,11912,NA
