YEAR,CATEGORY OF STAFF - PILOTS & CO-PILOTS,CATEGORY OF STAFF - OTHER FLIGHT PERSONNEL,CATEGORY OF STAFF - MAINTENANCE AND OVERHAUL PERSONNEL,CATEGORY OF STAFF - TICKETING AND SALES PERSONNEL,CATEGORY OF STAFF - OTHERS,CATEGORY OF STAFF - GRAND TOTAL,Note of: CATEGORY OF STAFF - MAINTENANCE AND OVERHAUL PERSONNEL,Note of: CATEGORY OF STAFF - TICKETING AND SALES PERSONNEL,Note of: CATEGORY OF STAFF - OTHERS
2007-08,49,324,121,82,257,833,NA,NA,NA
2008-09,78,380,126,75,279,938,NA,NA,NA
2009-10,75,356,147,70,238,886,NA,NA,NA
2010-11,NA,NA,NA,NA,NA,NA,NA,NA,NA
2011-12,226,482,206,NA,103,"1,017",NA,*,NA
2012-13,226,482,206,NA,103,"1,017",NA,*,NA
2013-14,215,419,NA,NA,NA,634,*,*,*
2014-15,236,729,133,NA,145,"1,243",NA,*,NA
2015-16,269,387,181,0,151,988,NA,NA,NA
2016-17,181,516,157,26,193,"1,073",NA,NA,NA
