YEAR,CATEGORY OF STAFF - PILOTS & CO-PILOTS,CATEGORY OF STAFF - OTHER FLIGHT PERSONNEL,CATEGORY OF STAFF - MAINTENANCE AND OVERHAUL PERSONNEL,CATEGORY OF STAFF - TICKETING AND SALES PERSONNEL,CATEGORY OF STAFF - OTHERS,CATEGORY OF STAFF - GRAND TOTAL
2007-08,2420,8334,6371,5292,15383,37800
2008-09,2432,7916,6547,3839,14047,34781
2009-10,2603,7100,6414,4025,13782,33924
2010-11,2999,7462,6557,4257,20590,41865
2011-12,4757,9963,11358,7852,19791,53721
2012-13,4820,10567,11350,6989,20890,54616
2013-14,5102,10568,11147,6626,21627,55070
2014-15,5577,11403,10624,5964,23861,57429
2015-16,6310,12143,5887,7048,22704,54092
2016-17,7183,13700,5864,6631,24930,58308
