YEAR,CATEGORY OF STAFF - PILOTS & CO-PILOTS,CATEGORY OF STAFF - OTHER FLIGHT PERSONNEL,CATEGORY OF STAFF - MAINTENANCE AND OVERHAUL PERSONNEL,CATEGORY OF STAFF - TICKETING AND SALES PERSONNEL,CATEGORY OF STAFF - OTHERS,CATEGORY OF STAFF - GRAND TOTAL
2007-08,78,186,207,NA,253,724
2008-09,82,148,212,NA,250,692
2009-10,80,146,198,NA,220,644
2010-11,81,142,184,NA,231,638
2011-12,77,409,177,NA,180,843
2012-13,77,553,173,NA,176,979
2013-14,68,507,170,NA,171,916
2014-15,59,439,40,NA,167,705
2015-16,77,149,0,NA,281,507
2016-17,116,142,0,NA,275,533
