YEAR,CATEGORY OF STAFF - PILOTS & CO-PILOTS,CATEGORY OF STAFF - OTHER FLIGHT PERSONNEL,CATEGORY OF STAFF - MAINTENANCE AND OVERHAUL PERSONNEL,CATEGORY OF STAFF - TICKETING AND SALES PERSONNEL,CATEGORY OF STAFF - OTHERS,CATEGORY OF STAFF - GRAND TOTAL
2007-08,65,172,163,220,578,1198
2008-09,NA,NA,NA,NA,NA,NA
2009-10,90,221,156,169,580,1216
2010-11,121,299,223,353,806,1802
2011-12,144,276,224,282,787,1713
2012-13,158,375,234,267,836,1870
2013-14,190,456,279,277,809,2011
2014-15,216,489,339,397,739,2180
2015-16,351,423,347,454,842,2417
2016-17,337,628,374,477,954,2770
