YEAR,CATEGORY OF STAFF - PILOTS & CO-PILOTS,CATEGORY OF STAFF - OTHER FLIGHT PERSONNEL,CATEGORY OF STAFF - MAINTENANCE AND OVERHAUL PERSONNEL,CATEGORY OF STAFF - TICKETING AND SALES PERSONNEL,CATEGORY OF STAFF - OTHERS,CATEGORY OF STAFF - GRAND TOTAL
2007-08,227,455,197,0,1195,2074
2008-09,255,444,252,19,1210,2180
2009-10,332,541,293,33,1492,2691
2010-11,424,795,359,43,1949,3570
2011-12,764,1148,543,53,2458,4966
2012-13,878,2063,662,72,3240,6915
2013-14,927,2219,740,76,4206,8168
2014-15,1320,2660,739,69,5748,10536
2015-16,1747,3350,876,65,6324,12362
2016-17,2094,4012,916,217,7365,14604
