YEAR,CATEGORY OF STAFF - PILOTS & CO-PILOTS,CATEGORY OF STAFF - OTHER FLIGHT PERSONNEL,CATEGORY OF STAFF - MAINTENANCE AND OVERHAUL PERSONNEL,CATEGORY OF STAFF - TICKETING AND SALES PERSONNEL,CATEGORY OF STAFF - OTHERS,CATEGORY OF STAFF - GRAND TOTAL
2007-08,1069,4066,2057,1308,4663,13163
2008-09,1110,4021,2047,658,5242,13078
2009-10,993,3104,1848,485,4791,11221
2010-11,1234,3390,2107,1277,10136,18144
2011-12,1366,3333,2073,1123,4750,12645
2012-13,1261,2803,2013,996,5387,12460
2013-14,1480,2940,2194,1109,5462,13185
2014-15,1488,3292,2116,967,5615,13478
2015-16,1962,3539,2223,1092,5940,14756
2016-17,1924,4092,2094,1104,6079,15293
