YEAR,CATEGORY OF STAFF - PILOTS & CO-PILOTS,CATEGORY OF STAFF - OTHER FLIGHT PERSONNEL,CATEGORY OF STAFF - MAINTENANCE AND OVERHAUL PERSONNEL,CATEGORY OF STAFF - TICKETING AND SALES PERSONNEL,CATEGORY OF STAFF - OTHERS,CATEGORY OF STAFF - GRAND TOTAL
2007-08,675,2708,3140,3030,6934,16487
2008-09,722,2644,3483,2586,6533,15968
2009-10,790,2475,3430,2620,5745,15060
2010-11,771,1994,3062,2305,5160,13292
2011-12,1846,3925,7588,6024,9398,28781
2012-13,1790,3922,7562,5299,8471,27044
2013-14,1777,3490,6868,4907,7552,24594
2014-15,1752,3489,6104,4221,7695,23261
2015-16,1757,2652,1094,4577,4295,14375
2016-17,1675,2642,911,4064,4226,13518
