YEAR,CATEGORY OF STAFF - PILOTS & CO-PILOTS,CATEGORY OF STAFF - OTHER FLIGHT PERSONNEL,CATEGORY OF STAFF - MAINTENANCE AND OVERHAUL PERSONNEL,CATEGORY OF STAFF - TICKETING AND SALES PERSONNEL,CATEGORY OF STAFF - OTHERS,CATEGORY OF STAFF - GRAND TOTAL
2007-08,1745,5626,3231,2262,8449,21313
2008-09,1710,5272,3064,1253,7514,18813
2009-10,1813,4625,2984,1405,8037,18864
2010-11,2228,5468,3495,1952,15430,28573
2011-12,2911,6038,3770,1828,10393,24940
2012-13,3030,6645,3788,1690,12419,27572
2013-14,3325,7078,4279,1719,14075,30476
2014-15,3825,7914,4520,1743,16166,34168
2015-16,4553,9491,4793,2471,18409,39717
2016-17,5508,11058,4953,2567,20704,44790
