YEAR,CATEGORY OF STAFF - PILOTS & CO-PILOTS,CATEGORY OF STAFF - OTHER FLIGHT PERSONNEL,CATEGORY OF STAFF - MAINTENANCE AND OVERHAUL PERSONNEL,CATEGORY OF STAFF - TICKETING AND SALES PERSONNEL,CATEGORY OF STAFF - OTHERS,CATEGORY OF STAFF - GRAND TOTAL
2007-08,134,421,194,555,1017,2321
2008-09,140,412,245,525,868,2190
2009-10,187,446,238,717,944,2532
2010-11,249,647,423,279,1668,3266
2011-12,417,856,560,370,2320,4523
2012-13,519,1069,528,355,2837,5308
2013-14,513,1100,619,129,3286,5647
2014-15,403,778,569,116,2326,4192
2015-16,467,894,528,371,3105,5365
2016-17,598,1214,725,384,3981,6902
