AIRCRAFT TYPE,NUMBER OF AIRCRAFT - AT BEGINNING OF YEAR,NUMBER OF AIRCRAFT - ACQUIRED,NUMBER OF AIRCRAFT - DISPOSED OFF,NUMBER OF AIRCRAFT - AT THE END OF YEAR,SIZE - NO. OF INSTALLED PAX. SEATS,SIZE - AV. PAYLOAD CAPACITY (TONNES),SIZE - AV. M.C.T.OM WEIGHT (IN TONNE),UTILIZATION OF AIRCRAFT - NUMBER OF DEPARTURES - SCHEDULED REVENUE,UTILIZATION OF AIRCRAFT - NUMBER OF DEPARTURES - NON-SCHEDULED REVENUE,UTILIZATION OF AIRCRAFT - NUMBER OF DEPARTURES - TOTAL (INCLUSIVE OF NON REVENUE),UTILIZATION OF AIRCRAFT - NUMBER OF HOURS FLOWN - SCHEDULED REVENUE,UTILIZATION OF AIRCRAFT - NUMBER OF HOURS FLOWN - NON-SCHEDULED REVENUE,UTILIZATION OF AIRCRAFT - NUMBER OF HOURS FLOWN - TOTAL (INCLUSIVE OF NON REVENUE),AVERAGE DAILY REVENUE HOURS PER AIRCRAFT **
777-200LR,3,0,0,3,238,41,347,1504,NA,1504,12499,0,12499,11.4
777-300ER,12,0,0,12,342,58,351,6594,31,6625,48126,90,48216,11
A-319,22,0,0,22,0,13,70,44840,1385,46225,77537,2006,79543,9.9
A-320,24,2,0,26,0,16,76,33131,998,34129,69720,1415,71135,7.5
A-321,20,0,0,20,182,21,89,39703,62,39765,87924,115,88039,12.1
ATR 42-320,2,0,0,2,47,1,17,3734,17,3751,4363,9,4372,6
ATR-72-212A,6,2,0,8,0,4,23,10336,92,10428,13184,42,13226,4.5
B-787,21,2,0,23,256,35,228,18233,0,18233,100625,0,100625,12
BOEING 747-400,5,0,0,5,423,53,378,1180,0,1180,4605,0,4605,2.5
Boeing B 737- 800,17,6,0,23,0,0,9,26084,0,26084,83495,0,83495,9.9
CRJ-700,3,0,2,1,70,5,34,1226,56,1282,1730,64,1794,4.9
Grand Total,135,12,2,145,NA,NA,NA,186565,2641,189206,503808,3741,507549,9.6
