CATEGORY,FINANCIAL ITEM,2014-15,2015-16,2016-17
OPERATING REVENUE,Scheduled Services - Passenger,1428.1,6160.2,8810
OPERATING REVENUE,Scheduled Services - Ex.baggage,18.5,69.6,99.5
OPERATING REVENUE,Scheduled Services - Freight,33.1,232.4,249.9
OPERATING REVENUE,Scheduled Services - Mail,0,0,0
OPERATING REVENUE,Scheduled Services - Others,0,0,0
OPERATING REVENUE,Sub-Total Scheduled Services,1479.7,6462.1,9159.4
OPERATING REVENUE,Non-Scheduled Services,0,0,0
OPERATING REVENUE,Other Operating Revenue,72.2,126.3,360
OPERATING REVENUE,Total Operating Revenue,1551.9,6588.4,9519.4
OPERATING EXPENSES,Flight Operations,1786.9,5096.6,6782.9
OPERATING EXPENSES,Flight Equipment Maintenance & Overhaul,177.6,676.1,1038.1
OPERATING EXPENSES,Depreciation & Amortization,18.4,73.9,86.6
OPERATING EXPENSES,User Charges,151.2,770.8,"1,118.80"
OPERATING EXPENSES,Station Expenses,97.7,0,0
OPERATING EXPENSES,Passenger Services,104.4,440.5,581.1
OPERATING EXPENSES,"Ticketing, Sales & Promotion",106.3,570.6,650.3
OPERATING EXPENSES,General & Administrative,433.5,777,664.9
OPERATING EXPENSES,Other Operating Expenses,8.9,0,0
OPERATING EXPENSES,Total Operating Expenses,2885,8405.4,10922.6
OPERATING RESULT,OPERATING RESULT,-1333.1,-1817,-1403.3
TOTAL NON-OPRATING ITEMS (BALANCE),TOTAL NON-OPRATING ITEMS (BALANCE),0,0,0
NET PROFIT OR LOSS(-) (Before Income tax),NET PROFIT OR LOSS(-) (Before Income tax),-1333.1,-1817,-1403.3
Provision for Income Tax,Provision for Income Tax,0,0,0
Profit or loss after Income Tax,Profit or loss after Income Tax,-1333.1,-1817,-1403.3
Profit or loss after tax and after extra ordinary items,Profit or loss after tax and after extra ordinary items,-1333.1,-1817,-1403.3
