CATEGORY,FINANCIAL ITEM,2012-13,2013-14,2014-15,2015-16,2016-17
OPERATING REVENUE,Scheduled Services - Passenger,465314.1,511706.8,571433.3,611884.3,668634.5
OPERATING REVENUE,Scheduled Services - Ex.baggage,3855.3,5240.7,6142.3,7669.1,8023.9
OPERATING REVENUE,Scheduled Services - Freight,34059.8,37370,40999.6,40074.2,41978.2
OPERATING REVENUE,Scheduled Services - Mail,1223.8,882.6,1294.4,1479.7,2423.1
OPERATING REVENUE,Scheduled Services - Others,-2012.4,-2492.8,-3166.8,-0.9,128.6
OPERATING REVENUE,Sub-Total Scheduled Services,502440.5,552707.3,616702.9,661106.4,721188.3
OPERATING REVENUE,Non-Scheduled Services,11094,11636.2,11765.5,12447.6,13252
OPERATING REVENUE,Other Operating Revenue,32445.1,45329.4,46763,46095.7,61173.5
OPERATING REVENUE,Total Operating Revenue,545979.6,609672.9,675231.4,719649.7,795613.8
OPERATING EXPENSES,Flight Operations,334089.9,386420.3,372808,311291.6,382182.2
OPERATING EXPENSES,Flight Equipment Maintenance & Overhaul,32706.1,51398.5,61290.4,68069.2,74340.5
OPERATING EXPENSES,Depreciation & Amortization,31249.6,34881.9,34468.8,38325.6,34762.4
OPERATING EXPENSES,User Charges,37665.1,46833.4,50590.6,60764.8,73436.4
OPERATING EXPENSES,Station Expenses,4101.9,2078.3,2485.5,2348.4,2717
OPERATING EXPENSES,Passenger Services,15821.6,18752,22505.3,23018.1,25958.2
OPERATING EXPENSES,"Ticketing, Sales & Promotion",29001,30818.2,40502.3,42717.7,47023.1
OPERATING EXPENSES,General & Administrative,69364,79563.1,89623.2,80840.7,88627.4
OPERATING EXPENSES,Other Operating Expenses,27189.7,32402.5,36645.7,48939.4,42065
OPERATING EXPENSES,Total Operating Expenses,581188.9,683148.3,710919.7,676315.5,771112.1
OPERATING RESULT,OPERATING RESULT,-35209.3,-73475.4,-35688.3,43334.1,24501.7
TOTAL NON-OPRATING ITEMS (BALANCE),TOTAL NON-OPRATING ITEMS (BALANCE),-35920.3,-45548.3,-35910.7,-41811.8,-49203.7
NET PROFIT OR LOSS(-) (Before Income tax),NET PROFIT OR LOSS(-) (Before Income tax),-68557.6,-121629.5,-74948.1,1522.3,-24702
Provision for Income Tax,Provision for Income Tax,1297.4,1639.8,2050.7,-8808.7,-5872.9
Profit or loss after Income Tax,Profit or loss after Income Tax,-69855,-123269.3,-76998.7,-7286.5,-30574.9
Profit or loss after tax and after extra ordinary items,Profit or loss after tax and after extra ordinary items,-50045.7,-76214.8,-80224.3,-6791.8,-38759.7
