CATEGORY,FINANCIAL ITEM,2012-13,2013-14,2014-15,2015-16,2016-17
OPERATING REVENUE,Scheduled Services - Passenger,2193.5,1945.5,1780.9,2077.1,3081.7
OPERATING REVENUE,Scheduled Services - Ex.baggage,11.8,15.3,15.2,11.1,1.5
OPERATING REVENUE,Scheduled Services - Freight,16,6.6,3.2,3.1,8.3
OPERATING REVENUE,Scheduled Services - Mail,383.6,0,376.4,0.9,536.8
OPERATING REVENUE,Scheduled Services - Others,206.5,456.5,103.8,-0.9,128.6
OPERATING REVENUE,Sub-Total Scheduled Services,2811.4,2423.9,2279.5,2091.3,3756.9
OPERATING REVENUE,Non-Scheduled Services,0,0,0,586.5,0
OPERATING REVENUE,Other Operating Revenue,0,0,0,60.8,0
OPERATING REVENUE,Total Operating Revenue,2811.4,2423.9,2279.5,2738.6,3756.9
OPERATING EXPENSES,Flight Operations,3409.3,3240,2353.4,722.8,1138
OPERATING EXPENSES,Flight Equipment Maintenance & Overhaul,71.9,52.7,13.6,2171.9,2846.4
OPERATING EXPENSES,Depreciation & Amortization,3.1,1,2.5,0.9,1
OPERATING EXPENSES,User Charges,152.3,135.9,109.2,134.7,164.6
OPERATING EXPENSES,Station Expenses,0,0,14.5,0,0
OPERATING EXPENSES,Passenger Services,231.1,318,180.2,144.5,282.5
OPERATING EXPENSES,"Ticketing, Sales & Promotion",27,14.8,13,0,26.7
OPERATING EXPENSES,General & Administrative,69.8,45.5,49,48.5,69
OPERATING EXPENSES,Other Operating Expenses,168.1,370.3,298.6,-8.7,551.8
OPERATING EXPENSES,Total Operating Expenses,4132.6,4178.2,3034,3214.6,5080
OPERATING RESULT,OPERATING RESULT,-1321.2,-1754.3,-754.5,-476,-1323.1
TOTAL NON-OPRATING ITEMS (BALANCE),TOTAL NON-OPRATING ITEMS (BALANCE),NA,-719.6,-1034.7,-1547.9,-1283.3
NET PROFIT OR LOSS(-) (Before Income tax),NET PROFIT OR LOSS(-) (Before Income tax),-1321.2,-2473.9,-1789.2,-2023.9,-2606.4
Provision for Income Tax,Provision for Income Tax,0,0,0,0,0
Profit or loss after Income Tax,Profit or loss after Income Tax,-1321.2,-2473.9,-1789.2,-2023.9,-2606.4
Profit or loss after tax and after extra ordinary items,Profit or loss after tax and after extra ordinary items,1333.8,-2493.9,-1840.4,-1987.5,-2827.2
