CATEGORY,FINANCIAL ITEM,2012-13,2013-14,2014-15,2015-16,2016-17
OPERATING REVENUE,Scheduled Services - Passenger,0,0,0,0,0
OPERATING REVENUE,Scheduled Services - Ex.baggage,0,0,0,0,0
OPERATING REVENUE,Scheduled Services - Freight,5679.7,6256.2,6483.1,5747.8,6055.5
OPERATING REVENUE,Scheduled Services - Mail,0,0,0,0,0
OPERATING REVENUE,Scheduled Services - Others,0,0,0,0,0
OPERATING REVENUE,Sub-Total Scheduled Services,5679.7,6256.2,6483.1,5747.8,6055.5
OPERATING REVENUE,Non-Scheduled Services,0,0,0,0,0
OPERATING REVENUE,Other Operating Revenue,137.1,83.8,108.9,190.3,132.9
OPERATING REVENUE,Total Operating Revenue,5816.8,6340,6592,5938.1,6188.4
OPERATING EXPENSES,Flight Operations,4280.6,4367.8,4122.8,3760.2,3919.4
OPERATING EXPENSES,Flight Equipment Maintenance & Overhaul,152.3,326.3,614.7,268.3,252.8
OPERATING EXPENSES,Depreciation & Amortization,432.2,542.4,681.3,618.8,597.4
OPERATING EXPENSES,User Charges,246.7,280,316.6,355.3,396.3
OPERATING EXPENSES,Station Expenses,0,0,0,0,0
OPERATING EXPENSES,Passenger Services,0,0,0,0,0
OPERATING EXPENSES,"Ticketing, Sales & Promotion",0,0,0,0,0
OPERATING EXPENSES,General & Administrative,451,531.1,575,717.1,798.4
OPERATING EXPENSES,Other Operating Expenses,0,0,0,0,0
OPERATING EXPENSES,Total Operating Expenses,5562.8,6047.6,6310.4,5719.7,5964.3
OPERATING RESULT,OPERATING RESULT,254,292.4,281.6,218.4,224.1
TOTAL NON-OPRATING ITEMS (BALANCE),TOTAL NON-OPRATING ITEMS (BALANCE),-220.3,-251.7,-232.2,-171.8,-178.6
NET PROFIT OR LOSS(-) (Before Income tax),NET PROFIT OR LOSS(-) (Before Income tax),33.7,40.7,49.4,46.6,45.5
Provision for Income Tax,Provision for Income Tax,-6.1,-8.5,-5.5,-15.4,-14.4
Profit or loss after Income Tax,Profit or loss after Income Tax,27.6,32.2,43.9,31.2,31.1
Profit or loss after tax and after extra ordinary items,Profit or loss after tax and after extra ordinary items,27.6,32.2,43.9,31.2,30.7
