CATEGORY,FINANCIAL ITEM,2012-13,2013-14,2014-15,2015-16,2016-17
OPERATING REVENUE,Scheduled Services - Passenger,21348.5,23446.6,27953,25649.6,30819.5
OPERATING REVENUE,Scheduled Services - Ex.baggage,86.2,142.2,187.5,162.9,166.8
OPERATING REVENUE,Scheduled Services - Freight,0,0,0,0,0
OPERATING REVENUE,Scheduled Services - Mail,0,0,0,0,0
OPERATING REVENUE,Scheduled Services - Others,0,0,0,0,0
OPERATING REVENUE,Sub-Total Scheduled Services,21434.7,23588.8,28140.5,25812.4,30986.4
OPERATING REVENUE,Non-Scheduled Services,0,0,0,0,0
OPERATING REVENUE,Other Operating Revenue,824.7,1735,2523.8,3004.5,5218.6
OPERATING REVENUE,Total Operating Revenue,22259.4,25323.8,30664.2,28817,36205
OPERATING EXPENSES,Flight Operations,14795,18087.2,19483.7,15351.7,18244.2
OPERATING EXPENSES,Flight Equipment Maintenance & Overhaul,670.4,1403.9,2244.4,3616.4,3824.8
OPERATING EXPENSES,Depreciation & Amortization,72.5,81.7,91.4,89.5,97.6
OPERATING EXPENSES,User Charges,1347.4,1816.6,2271.8,2418.4,3182.9
OPERATING EXPENSES,Station Expenses,1869,0,0,0,0
OPERATING EXPENSES,Passenger Services,266.5,990.7,0,0,0
OPERATING EXPENSES,"Ticketing, Sales & Promotion",1195.3,969.3,931.2,903.4,1075.1
OPERATING EXPENSES,General & Administrative,1192.4,877.5,3693.3,4325,5692.2
OPERATING EXPENSES,Other Operating Expenses,0,0,0,0,0
OPERATING EXPENSES,Total Operating Expenses,21408.5,24226.8,28715.8,26704.4,32116.9
OPERATING RESULT,OPERATING RESULT,850.9,1097,1948.4,2112.5,4088.1
TOTAL NON-OPRATING ITEMS (BALANCE),TOTAL NON-OPRATING ITEMS (BALANCE),618.9,-1013.3,-1415.8,-1456.2,-1538.8
NET PROFIT OR LOSS(-) (Before Income tax),NET PROFIT OR LOSS(-) (Before Income tax),1469.9,83.7,532.6,656.4,2549.2
Provision for Income Tax,Provision for Income Tax,-426.5,-29.3,-168.9,-401,-1005.5
Profit or loss after Income Tax,Profit or loss after Income Tax,1043.4,54.4,363.7,255.3,1543.7
Profit or loss after tax and after extra ordinary items,Profit or loss after tax and after extra ordinary items,1043.4,54.4,277.3,1502.4,2052.5
