CATEGORY,FINANCIAL ITEM,2012-13,2013-14,2014-15,2015-16,2016-17
OPERATING REVENUE,Scheduled Services - Passenger,85817.8,103509.6,128340.4,147835.9,170505.3
OPERATING REVENUE,Scheduled Services - Ex.baggage,785.1,1124.7,2206.8,3250.3,3504.6
OPERATING REVENUE,Scheduled Services - Freight,4102.9,4859.8,6538.8,7576.7,8761.9
OPERATING REVENUE,Scheduled Services - Mail,0,0,0,0,0
OPERATING REVENUE,Scheduled Services - Others,0,0,0,0,0
OPERATING REVENUE,Sub-Total Scheduled Services,90705.8,109494.1,137086,158662.8,182771.7
OPERATING REVENUE,Non-Scheduled Services,0,0,0,2.7,0
OPERATING REVENUE,Other Operating Revenue,1325,1671.7,2167.4,2733.6,3033.3
OPERATING REVENUE,Total Operating Revenue,92030.8,111165.8,139253.4,161399.1,185805
OPERATING EXPENSES,Flight Operations,62332.7,78816.7,86755.2,75303.8,108097.2
OPERATING EXPENSES,Flight Equipment Maintenance & Overhaul,2058.9,2341.1,2914.6,4110.8,7192.5
OPERATING EXPENSES,Depreciation & Amortization,856.2,2260.1,3022.1,5030.8,4572.5
OPERATING EXPENSES,User Charges,6418.8,8795.3,10901.3,14099.7,18680.2
OPERATING EXPENSES,Station Expenses,0,0,0,0,0
OPERATING EXPENSES,Passenger Services,339.9,359.4,477.1,929.9,3376.1
OPERATING EXPENSES,"Ticketing, Sales & Promotion",5575.9,6945.5,8729.8,9016.1,9053.7
OPERATING EXPENSES,General & Administrative,1688.9,2408.3,2990.3,3929.9,3796.8
OPERATING EXPENSES,Other Operating Expenses,4801.7,6540.6,7788.2,23949.6,14127.9
OPERATING EXPENSES,Total Operating Expenses,84073,108467,123578.6,136370.7,168897
OPERATING RESULT,OPERATING RESULT,7957.8,2698.8,15674.7,25028.4,16908
TOTAL NON-OPRATING ITEMS (BALANCE),TOTAL NON-OPRATING ITEMS (BALANCE),1974.3,2078.6,2790.5,3261.1,4535.4
NET PROFIT OR LOSS(-) (Before Income tax),NET PROFIT OR LOSS(-) (Before Income tax),9932.2,4777.4,18465.2,28289.5,21443.4
Provision for Income Tax,Provision for Income Tax,-856.5,-1602,-1874.9,-8392.3,-4851.5
Profit or loss after Income Tax,Profit or loss after Income Tax,9075.7,3175.5,16590.3,19897.2,16591.9
Profit or loss after tax and after extra ordinary items,Profit or loss after tax and after extra ordinary items,7873.5,3169.9,13041.7,19897.2,16591.9
