CATEGORY,FINANCIAL ITEM,2012-13,2013-14,2014-15,2015-16,2016-17
OPERATING REVENUE,Scheduled Services - Passenger,143358.7,144627.7,164485.7,179982.6,180785.5
OPERATING REVENUE,Scheduled Services - Ex.baggage,1382.1,1568.7,1410.2,1678.6,1648.5
OPERATING REVENUE,Scheduled Services - Freight,13608,13217.8,14031.5,13250.5,13138.1
OPERATING REVENUE,Scheduled Services - Mail,141.8,102.9,108,126.3,366.8
OPERATING REVENUE,Scheduled Services - Others,0,0,0,0,0
OPERATING REVENUE,Sub-Total Scheduled Services,158490.6,159517.1,180035.4,195038,195939
OPERATING REVENUE,Non-Scheduled Services,315.7,417,386.8,497.3,557.3
OPERATING REVENUE,Other Operating Revenue,12110.1,12391,15183.8,15582.4,16080.4
OPERATING REVENUE,Total Operating Revenue,170916.4,172325.1,195606.1,211117.7,212576.7
OPERATING EXPENSES,Flight Operations,88371.1,99797.9,94251.4,80539.6,87162.2
OPERATING EXPENSES,Flight Equipment Maintenance & Overhaul,13340.6,20383.8,21878.8,21805.2,20601.4
OPERATING EXPENSES,Depreciation & Amortization,9265.7,8757.4,7625,9950.9,8199
OPERATING EXPENSES,User Charges,12706.9,14587.7,15959.8,18157.3,20337
OPERATING EXPENSES,Station Expenses,2232.9,2078.3,2245.7,2187.9,2396.9
OPERATING EXPENSES,Passenger Services,7286.9,8399.5,10094,11712.7,11481.6
OPERATING EXPENSES,"Ticketing, Sales & Promotion",13604.3,14498.2,20424.8,23588.1,25321
OPERATING EXPENSES,General & Administrative,22882,32569.5,42550.6,31143.7,36571
OPERATING EXPENSES,Other Operating Expenses,0,0,0,0,0
OPERATING EXPENSES,Total Operating Expenses,169690.4,201072.5,215030.1,199085.4,212070
OPERATING RESULT,OPERATING RESULT,1225.9,-28747.5,-19424,12032.3,506.6
TOTAL NON-OPRATING ITEMS (BALANCE),TOTAL NON-OPRATING ITEMS (BALANCE),-6080,-7931.1,1288.2,-296.7,3401.7
NET PROFIT OR LOSS(-) (Before Income tax),NET PROFIT OR LOSS(-) (Before Income tax),-4854.2,-36678.5,-18135.9,11735.6,3908.3
Provision for Income Tax,Provision for Income Tax,-1.2,0,-1.2,0,-3.8
Profit or loss after Income Tax,Profit or loss after Income Tax,-4855.4,-36678.5,-18137.1,11735.6,3904.6
Profit or loss after tax and after extra ordinary items,Profit or loss after tax and after extra ordinary items,-4855.4,-36678.5,-18137.1,11735.6,3904.6
