CATEGORY,FINANCIAL ITEM,2012-13,2013-14,2014-15,2015-16,2016-17
OPERATING REVENUE,Scheduled Services - Passenger,144619.6,166618.9,185202.9,187037,195099.5
OPERATING REVENUE,Scheduled Services - Ex.baggage,999.1,1708.4,1686.3,1643.2,1664.8
OPERATING REVENUE,Scheduled Services - Freight,8640.6,10798.2,11818,10792.9,10700.2
OPERATING REVENUE,Scheduled Services - Mail,1070.9,764.5,1173.1,901,1216.4
OPERATING REVENUE,Scheduled Services - Others,-2012.4,-2492.8,-3166.8,-0.9,128.6
OPERATING REVENUE,Sub-Total Scheduled Services,153317.8,177397.2,196713.5,200373.2,208809.4
OPERATING REVENUE,Non-Scheduled Services,10740.4,11198.5,11363.1,11927,12519.2
OPERATING REVENUE,Other Operating Revenue,15084.7,25459.2,23282.7,19541.3,34323.7
OPERATING REVENUE,Total Operating Revenue,179142.9,214054.9,231359.3,231841.5,255652.3
OPERATING EXPENSES,Flight Operations,112370.6,126472.9,119304.9,93354.6,111361.5
OPERATING EXPENSES,Flight Equipment Maintenance & Overhaul,8380.1,14893.1,24468.9,26015.8,28514.9
OPERATING EXPENSES,Depreciation & Amortization,19759.7,21683.2,21545.1,21086,19034.8
OPERATING EXPENSES,User Charges,12114.9,15359.1,15824.9,19119.7,21095.9
OPERATING EXPENSES,Station Expenses,0,0,14.5,0,0
OPERATING EXPENSES,Passenger Services,7112.1,8189.2,11149.7,8682.2,9542.3
OPERATING EXPENSES,"Ticketing, Sales & Promotion",4467.2,4001.3,6051.8,5098,6570.2
OPERATING EXPENSES,General & Administrative,38346.2,37436.7,28393.3,28899.3,28433.3
OPERATING EXPENSES,Other Operating Expenses,16824,19599.6,22732.9,22115.8,23792.9
OPERATING EXPENSES,Total Operating Expenses,219374.8,247635.1,249486,224371.3,248345.8
OPERATING RESULT,OPERATING RESULT,-40231.9,-33580.2,-18126.7,7470.1,7306.6
TOTAL NON-OPRATING ITEMS (BALANCE),TOTAL NON-OPRATING ITEMS (BALANCE),-30050.4,-41251.9,-43332.6,-43456.2,-56124.9
NET PROFIT OR LOSS(-) (Before Income tax),NET PROFIT OR LOSS(-) (Before Income tax),-70282.3,-74832.1,-61459.3,-35986.1,-48818.4
Provision for Income Tax,Provision for Income Tax,0,0,0,0,0
Profit or loss after Income Tax,Profit or loss after Income Tax,-70282.3,-74832.1,-61459.3,-35986.1,-48818.4
Profit or loss after tax and after extra ordinary items,Profit or loss after tax and after extra ordinary items,-57079.4,-68743.2,-61049.8,-36738.5,-57511.5
