CATEGORY,FINANCIAL ITEM,2012-13,2013-14,2014-15,2015-16,2016-17
OPERATING REVENUE,Scheduled Services - Passenger,320694.5,345087.9,386230.4,424847.3,473535
OPERATING REVENUE,Scheduled Services - Ex.baggage,2856.2,3532.3,4456,6025.8,6359.1
OPERATING REVENUE,Scheduled Services - Freight,25419.2,26571.8,29181.6,29281.3,31278
OPERATING REVENUE,Scheduled Services - Mail,152.9,118.1,121.3,578.7,1206.7
OPERATING REVENUE,Scheduled Services - Others,0,0,0,0,0
OPERATING REVENUE,Sub-Total Scheduled Services,349122.7,375310.1,419989.4,460733.1,512378.9
OPERATING REVENUE,Non-Scheduled Services,353.6,437.7,402.4,520.6,732.8
OPERATING REVENUE,Other Operating Revenue,17360.4,19870.2,23480.3,26554.4,26849.7
OPERATING REVENUE,Total Operating Revenue,366836.7,395618,443872,487808.1,539961.5
OPERATING EXPENSES,Flight Operations,221719.3,259947.4,253503.1,217937,270820.7
OPERATING EXPENSES,Flight Equipment Maintenance & Overhaul,24326,36505.4,36821.5,42053.4,45825.6
OPERATING EXPENSES,Depreciation & Amortization,11489.9,13198.7,12923.7,17239.5,15727.6
OPERATING EXPENSES,User Charges,25550.2,31474.3,34765.7,41645.1,52340.5
OPERATING EXPENSES,Station Expenses,4101.9,2078.3,2471,2348.4,2717
OPERATING EXPENSES,Passenger Services,8709.5,10562.8,11355.6,14335.9,16415.8
OPERATING EXPENSES,"Ticketing, Sales & Promotion",24533.8,26816.9,34450.5,37619.7,40453
OPERATING EXPENSES,General & Administrative,31017.8,42126.4,61229.9,51941.5,60194.1
OPERATING EXPENSES,Other Operating Expenses,10365.7,12802.9,13912.8,26823.6,18272.1
OPERATING EXPENSES,Total Operating Expenses,361814.1,435513.2,461433.7,451944.1,522766.4
OPERATING RESULT,OPERATING RESULT,5022.6,-39895.2,-17561.7,35864,17195.1
TOTAL NON-OPRATING ITEMS (BALANCE),TOTAL NON-OPRATING ITEMS (BALANCE),-5869.9,-4296.4,7421.9,1644.4,6921.2
NET PROFIT OR LOSS(-) (Before Income tax),NET PROFIT OR LOSS(-) (Before Income tax),1724.7,-46797.4,-13488.8,37508.4,24116.3
Provision for Income Tax,Provision for Income Tax,1297.4,1639.8,2050.7,-8808.7,-5872.9
Profit or loss after Income Tax,Profit or loss after Income Tax,427.3,-48437.2,-15539.5,28699.6,18243.4
Profit or loss after tax and after extra ordinary items,Profit or loss after tax and after extra ordinary items,7033.7,-7471.6,-19174.5,29946.7,18751.8
