CATEGORY,FINANCIAL ITEM,2015-16,2016-17
OPERATING REVENUE,Scheduled Services - Passenger,643.1,1230.7
OPERATING REVENUE,Scheduled Services - Ex.baggage,2,3.2
OPERATING REVENUE,Scheduled Services - Freight,0,0
OPERATING REVENUE,Scheduled Services - Mail,0,0
OPERATING REVENUE,Scheduled Services - Others,0,0
OPERATING REVENUE,Sub-Total Scheduled Services,645,1234
OPERATING REVENUE,Non-Scheduled Services,1.6,0
OPERATING REVENUE,Other Operating Revenue,2.6,27.5
OPERATING REVENUE,Total Operating Revenue,649.2,1261.4
OPERATING EXPENSES,Flight Operations,942.8,1280.8
OPERATING EXPENSES,Flight Equipment Maintenance & Overhaul,57.7,125.2
OPERATING EXPENSES,Depreciation & Amortization,14.1,21.5
OPERATING EXPENSES,User Charges,17.7,377.2
OPERATING EXPENSES,Station Expenses,25.5,0
OPERATING EXPENSES,Passenger Services,93.4,168.5
OPERATING EXPENSES,"Ticketing, Sales & Promotion",0,30.5
OPERATING EXPENSES,General & Administrative,0.4,65.5
OPERATING EXPENSES,Other Operating Expenses,0,0
OPERATING EXPENSES,Total Operating Expenses,1151.5,2069.1
OPERATING RESULT,OPERATING RESULT,-502.3,-807.7
TOTAL NON-OPRATING ITEMS (BALANCE),TOTAL NON-OPRATING ITEMS (BALANCE),0,0
NET PROFIT OR LOSS(-) (Before Income tax),NET PROFIT OR LOSS(-) (Before Income tax),-502.3,-807.7
Provision for Income Tax,Provision for Income Tax,0,0
Profit or loss after Income Tax,Profit or loss after Income Tax,-502.3,-807.7
Profit or loss after tax and after extra ordinary items,Profit or loss after tax and after extra ordinary items,-502.3,-807.7
