CATEGORY,FINANCIAL ITEM,2014-15,2015-16,2016-17
OPERATING REVENUE,Scheduled Services - Passenger,554.3,6184.7,12395.9
OPERATING REVENUE,Scheduled Services - Ex.baggage,2.5,28.5,59.3
OPERATING REVENUE,Scheduled Services - Freight,36.6,0,0
OPERATING REVENUE,Scheduled Services - Mail,0,440.8,793.5
OPERATING REVENUE,Scheduled Services - Others,0,0,0
OPERATING REVENUE,Sub-Total Scheduled Services,593.4,6654,13248.7
OPERATING REVENUE,Non-Scheduled Services,0,0,0
OPERATING REVENUE,Other Operating Revenue,0,259.7,650.5
OPERATING REVENUE,Total Operating Revenue,691.3,6913.7,13899.2
OPERATING EXPENSES,Flight Operations,932.7,5110.1,9457.1
OPERATING EXPENSES,Flight Equipment Maintenance & Overhaul,463.9,1962.1,3365.1
OPERATING EXPENSES,Depreciation & Amortization,20.9,101.3,157.6
OPERATING EXPENSES,User Charges,104.5,1002.6,1754.8
OPERATING EXPENSES,Station Expenses,12.2,44,192.5
OPERATING EXPENSES,Passenger Services,55.5,682.2,411.9
OPERATING EXPENSES,"Ticketing, Sales & Promotion",186.7,891.6,1300.5
OPERATING EXPENSES,General & Administrative,905.6,1238.1,968
OPERATING EXPENSES,Other Operating Expenses,0,122.7,1784.8
OPERATING EXPENSES,Total Operating Expenses,2681.9,11154.7,19392.1
OPERATING RESULT,OPERATING RESULT,-1990.7,-4241,-5492.9
TOTAL NON-OPRATING ITEMS (BALANCE),TOTAL NON-OPRATING ITEMS (BALANCE),0,231.9,308.1
NET PROFIT OR LOSS(-) (Before Income tax),NET PROFIT OR LOSS(-) (Before Income tax),-1990.7,-4009.1,-5184.8
Provision for Income Tax,Provision for Income Tax,0,0,0.2
Profit or loss after Income Tax,Profit or loss after Income Tax,-1990.7,-4009.1,-5184.6
Profit or loss after tax and after extra ordinary items,Profit or loss after tax and after extra ordinary items,-1990.7,-4009.1,-5184.6
