Year,Broad Gauge - Steam,Broad Gauge - Electric,Broad Gauge - Diesel,Broad Gauge - Total,Metre Gauge - Steam,Metre Gauge - Electric,Metre Gauge - Diesel,Metre Gauge - Total,All Gauges including Narrow Gauge - Steam,All Gauges including Narrow Gauge - Electric,All Gauges including Narrow Gauge - Diesel,All Gauges including Narrow Gauge - Total
1964-65,98057,24729,57091,179877,29695,41,6808,36544,128570,24770,63917,217257
1965-66,92822,32980,70683,196485,28145,304,10516,38965,121664,33285,81382,236331
1966-67,82699,36730,76963,196392,27514,337,10092,37943,110956,37067,87189,235212
1967-68,77990,41774,84516,204280,26640,341,10853,37834,105378,42115,95492,242985
1968-69,70153,48127,95835,214115,26059,352,13948,40359,96936,48479,109925,255340
1969-70,66975,52992,101980,221947,24633,335,16379,41347,92347,53328,118490,264165
1970-71,59569,51706,106321,217596,23279,336,17326,40941,83530,52043,123762,259335
1971-72,55475,55145,115270,225890,22969,357,18470,41796,79111,55502,133841,268454
1972-73,51257,60261,119174,230692,20997,336,20433,41766,72889,60597,139763,273249
1973-74,43153,54118,114369,211640,15166,337,20365,35868,58795,54455,134865,248115
1974-75,46207,61249,121761,229217,15669,305,21718,37692,62341,61554,143622,267517
1975-76,45309,72573,138077,255959,16145,368,23484,39997,61934,72942,161703,296579
1976-77,37155,81958,152274,271387,16379,444,24917,41740,53965,82402,177362,313729
1977-78,36003,83172,162053,281228,15262,378,25167,40807,51673,83570,187458,322701
1978-79,26350,75890,163853,266093,13107,331,25244,38682,39823,76221,189319,305363
1979-80,20102,72501,172444,265047,11856,319,25179,37354,32310,72820,197796,302926
1980-81,15630,73605,179275,268510,9167,304,26413,35884,25125,73909,205840,304874
1981-82,12121,95245,192133,299499,6181,329,28706,35216,18595,95574,220984,335153
1982-83,10060,103533,193684,307277,5421,319,30943,36683,15747,103851,224771,344369
1983-84,7659,106353,201057,315069,4382,369,30429,35180,12284,106722,231633,350639
1984-85,6735,109981,209071,325787,4184,346,28953,33483,11134,110328,238158,359620
1985-86,4284,130886,222942,358112,3944,340,33432,37716,8414,131226,256554,396194
1986-87,3222,146107,239479,388808,2603,283,35631,38517,5958,146390,275336,427684
1987-88,2768,155203,249080,407051,1724,321,35182,37227,4587,155524,284500,444611
1988-89,2235,166095,242193,410523,1332,329,34776,36437,3657,166424,277215,447296
1989-90,1578,179542,241927,423047,1298,287,36328,37913,2964,179829,278532,461325
1990-91,916,195240,235591,431747,1165,349,37059,38573,2146,195588,272916,470650
1991-92,535,216733,237921,455189,1120,426,38447,39993,1670,217159,276662,495491
1992-93,371,238035,228148,466554,623,431,37185,38239,997,238466,265636,505099
1993-94,70,260151,220285,480506,367,441,30134,30942,438,260592,250678,511708
1994-95,8,281400,213588,494996,135,230,21718,22083,143,281631,235524,517298
1995-96,NA,311855,220131,531986,38,235,19214,19487,38,312090,239535,551663
1996-97,NA,326799,226798,553597,5,268,16054,16327,5,327067,243052,570124
1997-98,NA,344928,234218,579146,1,237,9990,10228,1,345166,244403,589570
1998-99,NA,349365,229520,578885,NA,58,8232,8290,NA,349423,237945,587368
1999-2000,NA,382081,243090,625171,NA,50,7215,7265,NA,382131,250441,632572
2000-2001,NA,386821,251840,638661,NA,25,6870,6895,NA,386846,258841,645687
2001-2002,NA,413952,261252,675204,NA,1,6950,6951,NA,413954,268321,682275
2002-2003,NA,439420,260016,699436,NA,NA,6178,6178,NA,439420,266321,705741
2003-2004,NA,471262,281991,753253,NA,NA,5116,5116,NA,471262,287207,758469
2004-2005,NA,510798,297151,807949,NA,NA,4496,4496,NA,510798,301651,812449
2005-2006,NA,528910,308440,837350,NA,NA,4736,4736,NA,528910,313181,842091
2006-2007,NA,566704,328432,895136,NA,NA,2952,2952,NA,566704,331384,898088
2007-2008,NA,612949,343046,955995,NA,NA,2093,2093,NA,612949,345139,958088
2008-2009,NA,"6,59,106","3,45,516","10,04,622",NA,NA,1281,1281,NA,659106,346798,1005904
2009-2010,NA,687886,391350,"10,79,236",NA,NA,1109,1109,NA,687886,392458,1080344
2010-2011,NA,"7,25,254",399226,"11,24,480",NA,NA,1180,1180,NA,725254,400406,1125660
2011-2012,NA,"7,93,100","4,12,653","12,05,753",NA,NA,993,993,NA,793100,413646,1206746
2012-2013,NA,"7,55,596","4,10,061","11,65,657",NA,NA,872,872,NA,755596,410933,1166529#
2013-2014,NA,"7,84,828","4,12,226","11,97,054",NA,NA,"1,016","1,016",NA,"7,84,829","4,13,241","11,98,070"
