Year,Broad Gauge - Steam,Broad Gauge - Electric,Broad Gauge - Diesel,Broad Gauge - Total,Broad Gauge - E.M.U.,Metre Gauge - Steam,Metre Gauge - Electric,Metre Gauge - Diesel,Metre Gauge - Total,Metre Gauge - E.M.U.,Total including Narrow Gauge - Steam,Total including Narrow Gauge - Electric,Total including Narrow Gauge - Diesel,Total including Narrow Gauge - Total,Total including Narrow Gauge - E.M.U.
1964-65,69485,3732,236,73453,6078,26413,11,158,26582,264,97002,3743,407,101152,6342
1965-66,71341,4043,1346,76730,6188,27853,191,183,28227,298,100275,4234,1601,106110,6486
1966-67,69280,4985,4256,78521,6863,28458,437,170,29065,306,98771,5422,4621,108814,7169
1967-68,67319,6339,5760,79418,7330,28132,560,624,29316,426,96507,6899,6556,109962,7756
1968-69,66172,7588,6915,80675,7794,28385,560,519,29464,466,95610,8149,7608,111367,8260
1969-70,64440,9010,8373,81823,8044,29087,633,937,30657,469,94600,9643,9440,113683,8513
1970-71,62983,9673,12255,84911,8383,29862,678,1165,31705,525,93930,10351,13540,117821,8908
1971-72,62553,10233,15549,88335,8882,30165,687,1430,32282,545,93780,10919,17132,121831,9427
1972-73,62378,9664,17434,89476,9930,29560,707,2339,32606,564,92932,10371,19956,123259,10494
1973-74,58016,9402,18855,86273,10327,23012,725,3844,27581,528,81926,10128,22859,114913,10855
1974-75,55621,9857,17792,83270,10073,21126,734,4901,26761,499,77586,10591,22853,111030,10572
1975-76,58162,15382,21705,95249,11551,26096,763,5424,32283,617,85106,16146,27295,128547,12168
1976-77,55653,19316,29145,104114,12144,26946,805,6088,33839,643,83455,20121,35390,138966,12787
1977-78,53644,23964,33731,111339,12689,26430,759,6953,34142,660,80947,24722,40869,146538,13349
1978-79,48515,25121,38379,112015,12714,24525,801,7525,32851,660,73861,25922,46095,145878,13374
1979-80,46934,26260,42425,115619,13042,23283,827,8317,32427,648,71075,27087,50921,149083,13690
1980-81,43259,27198,44695,115152,13301,22813,835,8786,32434,670,66923,53654,28033,148610,13971
1981-82,38503,30181,48558,117242,13083,20872,845,10909,32626,707,60197,59692,31025,150914,13790
1982-83,37221,31939,55643,124803,13926,22018,869,10250,33137,708,60068,32808,66151,159027,14634
1983-84,35611,33031,62621,131263,14297,21491,836,11494,33821,745,57893,33867,74430,166190,15042
1984-85,33914,35164,69080,138158,14657,20204,944,12302,33450,725,54821,36108,81744,172673,15382
1985-86,34706,39967,73589,148262,15055,20165,879,12766,33810,728,55512,40847,86782,183141,15783
1986-87,33239,43385,76311,152935,15912,20063,885,13539,34487,740,53808,44270,90434,188512,16652
1987-88,33363,47571,79324,160258,17063,18921,928,15146,34995,752,52630,48498,95181,196309,17815
1988-89,29476,56092,81284,166852,17514,17887,913,15457,34257,748,47692,57005,97430,202127,18262
1989-90,24892,64657,85759,175308,18028,17003,931,16940,34874,744,42163,65589,103416,211168,18772
1990-91,19786,68285,91563,179634,18677,15424,904,17952,34280,790,35422,69189,110256,214867,19467
1991-92,17162,75893,96029,189084,19215,14974,920,19344,35238,822,32294,76813,116164,225271,20027
1992-93,10966,86465,98013,195444,19720,13093,857,20071,34021,899,24158,87322,118903,230383,20619
1993-94,5657,94292,103600,203549,20414,8132,807,21414,30353,897,13852,95099,125855,234806,21311
1994-95,1045,97748,112355,211148,20867,3294,938,23327,27559,932,4378,98686,136520,239584,21799
1995-96,12,101162,125646,226820,21987,1594,1089,22767,25450,950,1638,102251,149214,253103,22937
1996-97,NA,106142,131296,237438,23307,842,1203,22079,24124,945,867,107345,154195,262407,24252
1997-98,NA,116702,134491,251193,22673,222,1185,19819,21226,948,244,117887,155030,273161,23621
1998-99,NA,126773,144924,271697,23279,75,660,18953,19688,957,95,127434,164579,292108,24236
1999-00,NA,143033,163431,306464,24060,25,615,18839,19479,970,43,143647,182934,326624,24845
2000-01,NA,144392,171022,315414,24045,3,549,18129,18681,959,12,144940,189801,334753,25004
2001-02,NA,154646,176158,330804,25631,2,498,18327,18827,1050,13,155144,195151,350308,26681
2002-03,NA,165715,181938,347652,26250,2,481,18456,18949,859,14,166195,201132,367341,27109
2003-04,NA,170951,199499,370450,27927,3,349,17210,17562,589,14,171300,"2,17,452",388766,"28,516"
2004-05,NA,184046,206351,390397,28324,2,85,16997,17084,130,14,184131,"2,24,034",408179,"28,454"
2005-06,NA,"1,91,783","2,16,910","4,08,693",28870,3,NA,15458,15461,NA,15,191783,"2,33,035",424833,"28,870"
2006-07,NA,"2,08,968","2,29,658","4,38,626","28,966",2,NA,13355,13357,NA,17,"2,08,967","2,43,299","4,52,283","28,966"
2007-08,NA,"2,20,699","2,47,706","4,68,405","30,129",2,NA,11013,11015,NA,16,"2,20,698","2,59,587","4,80,301","30,129"
2008-09,NA,"2,39,168","2,43,458","4,82,626","32,175",2,NA,8710,8712,NA,15,"2,39,168","2,53,177","4,92,360","32,175"
2009-10,NA,"2,60,504","2,75,769","5,36,273","33,893",1,NA,7958,7959,NA,15,"2,60,504","2,85,026","5,45,545","33,893"
2010-11,NA,"2,80,857","2,97,982","5,78,839","36,051",2,NA,8071,8073,NA,13,"2,80,857","3,07,351","5,88,221","36,051"
2011-12,NA,"2,96,073","3,18,346","630,576 *","36,424",2,NA,7969,7984 *,NA,12,"2,96,073","3,27,566","6,39,821 *","36,424"
