Year,Broad Gauge - Steam,Broad Gauge - Diesel,Broad Gauge - Elect.,Broad Gauge - Total,Metre Gauge - Steam,Metre Gauge - Diesel,Metre Gauge - Elect.,Metre Gauge - Total,Total All Gauges including Narrow Gauge - Steam,Total All Gauges including Narrow Gauge - Diesel,Total All Gauges including Narrow Gauge - Electric,Total All Gauges including Narrow Gauge - Total
1950-51,36951,NA,759,"37,710","5,757",NA,19,"5,776","42,897",NA,778,"43,675"
1955-56,"49,327",NA,910,"50,237","8,611",NA,16,"8,627","58,203",NA,926,"59,129"
1960-61,"64,939","7,231","1,338","73,508","13,120",193,18,"13,331","78,337","7,424","1,355","87,116"
1961-62,"64,797","6,647","4,362","75,806","14,330",309,19,"14,658","79,408","6,957","4,380","90,745"
1962-63,"64,065","10,879","9,129","84,073","14,503","1,297",19,"15,819","78,855","12,175","9,148","1,00,178"
1963-64,"55,562","22,428","10,820","88,810","15,097","2,024",17,"17,138","70,953","24,453","10,836","1,06,242"
1964-65,"45,947","29,019","13,246","88,212","13,949","3,423",21,"17,393","60,190","32,450","13,267","1,05,907"
1965-66,"43,416","35,988","17,534","96,938","13,515","5,392",176,"19,083","57,185","41,452","17,709","1,16,346"
1966-67,"39,118","38,923","19,283","97,324","13,212","5,021",196,"18,429","52,602","43,995","19,480","1,16,077"
1967-68,"36,078","42,027","21,603","99,708","12,684","5,460",202,"18,346","49,013","47,531","21,806","1,18,350"
1968-69,"31,868","48,082","24,630","1,04,580","12,393","7,101",203,"19,697","44,525","55,243","24,833","1,24,601"
1969-70,"29,773","50,360","26,843","1,06,976","11,562","8,653",196,"20,411","41,607","59,071","27,039","1,27,717"
1970-71,"26,440","53,016","26,648","1,06,104","11,102","9,248",198,"20,548","37,796","62,314","26,846","1,26,956"
1971-72,"25,164","58,084","28,077","1,11,325","11,233","9,837",213,"21,283","36,650","67,964","28,290","1,32,904"
1972-73,"23,269","60,168","30,936","1,14,373","10,166","11,146",203,"21,515","33,668","71,381","31,140","1,36,189"
1973-74,"19,189","57,030","27,017","1,03,236","7,353","11,067",203,"18,623","26,718","68,153","27,220","1,22,091"
1974-75,"21,290","61,746","30,981","1,14,017","7,854","11,800",180,"19,834","29,321","73,608","31,162","1,34,091"
1975-76,"20,508","69,541","36,936","1,26,985","7,841","12,560",214,"20,615","28,532","82,164","37,150","1,47,846"
1976-77,"16,250","76,145","41,753","1,34,148","8,019","13,649",266,"21,934","24,437","89,872","42,019","1,56,328"
1977-78,"15,869","82,167","42,402","1,40,438","7,490","13,850",228,"21,568","23,517","96,114","42,630","1,62,261"
1978-79,"11,577","83,096","38,691","1,33,364","6,593","14,098",199,"20,890","18,311","97,295","38,889","1,54,495"
1979-80,"8,624","88,583","37,784","1,34,991","6,074","14,277",189,"20,540","14,848","1,02,935","37,972","1,55,755"
