Year,Broad Gauge - Steam,Broad Gauge - Diesel,Broad Gauge - Elect.,Metre Gauge - Steam,Metre Gauge - Diesel,Metre Gauge - Elect.,All Gauges including Narrow Gauge - Steam,All Gauges including Narrow Gauge - Diesel,All Gauges including Narrow Gauge - Elect.
1950-51,97.99,NA,2.01,99.67,NA,0.33,98.22,NA,1.78
1955-56,98.19,NA,1.81,99.81,NA,0.19,98.43,NA,1.57
1960-61,88.34,9.84,1.82,98.42,1.45,0.13,89.92,8.52,1.56
1961-62,85.48,8.77,5.75,97.76,2.11,0.13,87.51,7.67,4.82
1962-63,76.2,12.94,10.86,91.68,8.2,0.12,78.72,12.15,9.13
1963-64,62.56,25.25,12.19,88.09,11.81,0.1,66.78,23.02,10.2
1964-65,52.09,32.89,15.02,80.2,19.68,0.12,56.83,30.64,12.53
1965-66,44.79,37.12,18.09,70.88,28.19,0.93,49.13,35.63,15.24
1966-67,39.27,40.74,19.99,71.69,27.24,1.07,44.54,38.53,16.93
1967-68,36.18,42.15,21.67,69.14,29.76,1.1,41.41,40.16,18.43
1968-69,30.47,45.98,23.55,62.92,36.05,1.03,35.73,44.34,19.93
1969-70,27.83,47.08,25.09,56.65,42.4,0.95,32.58,46.25,21.17
1970-71,24.92,49.97,25.11,54.03,45.01,0.96,29.71,49.08,21.15
1971-72,22.6,52.18,25.22,52.78,46.22,1,27.58,51.14,21.28
1972-73,20.34,52.61,27.05,47.25,51.81,0.94,24.72,52.41,22.87
1973-74,18.58,55.25,26.17,39.48,59.42,1.09,21.88,55.83,22.29
1974-75,18.67,54.16,27.17,39.6,59.49,0.91,21.87,54.89,23.24
1975-76,16.15,54.76,29.09,38.04,60.92,1.04,19.3,55.57,25.13
1976-77,12.12,56.76,31.12,36.56,62.23,1.21,15.63,57.49,26.88
1977-78,11.3,58.5,30.2,34.73,64.22,1.05,14.49,59.23,26.28
1978-79,8.68,62.31,29.01,31.56,67.49,0.95,11.85,62.98,25.17
1979-80,6.39,65.62,27.99,29.57,69.51,0.92,9.53,66.09,24.38
1980-81,4.78,67.14,28.08,23.71,75.39,0.9,7.26,68.14,24.6
1981-82,3.24,64.62,32.14,15.84,83.12,1.04,4.74,66.72,28.54
1982-83,2.64,63.19,34.17,13.03,86.01,0.96,3.93,65.87,30.2
1983-84,1.86,64.06,34.08,10.56,88.2,1.24,2.91,66.8,30.29
1984-85,1.56,64.69,33.75,10.62,88.21,1.17,2.56,67.14,30.3
1985-86,0.88,62.34,36.78,8.73,90.23,1.04,1.75,65.29,32.96
1986-87,0.63,61.27,38.1,5.43,93.18,0.79,1.12,64.47,34.41
1987-88,0.51,60.53,38.96,3.65,95.46,0.88,0.82,63.79,35.39
1988-89,0.41,58.43,31.16,2.85,96.18,0.97,0.65,61.92,37.43
1989-90,0.27,57.05,32.68,2.74,96.49,0.77,0.52,60.77,38.71
1990-91,0.15,54.29,35.56,2.49,96.62,0.89,0.37,58.24,41.39
1991-92,0.07,51.69,48.24,2.36,96.57,1.07,0.29,55.88,43.83
1992-93,0.05,48.5,51.45,1.32,97.52,1.16,0.16,52.76,47.08
1993-94,0.01,45.46,54.53,0.98,97.49,1.53,0.08,49.2,50.72
1994-95,NA,42.62,57.38,0.53,98.23,1.24,0.03,45.47,54.5
1995-96,NA,40.72,59.28,0.15,98.47,1.38,0.01,43.1,56.89
1996-97,NA,40.29,59.71,0.01,97.94,2.05,NA,42.16,57.84
1997-98,NA,40.05,59.95,NA,97.04,2.96,NA,41.19,58.81
1998-99,NA,39.72,60.28,NA,99.12,0.88,NA,40.7,59.3
1999-00,NA,38.63,61.37,NA,99.2,0.8,NA,39.37,60.63
2000-01,NA,39.28,60.72,NA,99.6,0.4,NA,39.98,60.02
2001-02,NA,38.71,61.29,NA,100,NA,NA,39.36,60.64
2002-03,NA,36.87,63.13,NA,100,NA,NA,37.37,62.63
2003-04,NA,37.72,62.28,NA,100,NA,NA,38.1,61.9
2004-05,NA,38.7,61.3,NA,100,NA,NA,39.02,60.98
2005-06,NA,37.89,62.11,NA,100,NA,NA,38.18,61.82
2006-07,NA,37.18,62.82,NA,100,NA,NA,37.37,62.63
2007-08,NA,36.33,63.67,NA,100,NA,NA,36.46,63.54
2008-09,NA,35.12,64.88,NA,100,NA,NA,35.2,64.8
2009-10,NA,36.41,63.59,NA,100,NA,NA,36.48,63.52
2010-11,NA,35.99,64.01,NA,100,NA,NA,36.05,63.95
2011-12,NA,34.27,65.73,NA,100,NA,NA,34.32,65.68
2012-13,NA,35.19#,64.81#,NA,100,NA,NA,35.24#,64.76#
2013-14,NA,35,65,NA,100,NA,NA,35.05,64.95
