YEAR,Passenger & Proporlportion of lmixed - Steam,Passenger & Proporlportion of lmixed - Diesel,Passenger & Proporlportion of lmixed - Electric,Passenger & Proporlportion of lmixed - Total,E.M.U. - As the trains are run,E.M.U. - In terms of single unit trains,Goods & Proporlportion of lmixed - Steam,Goods & Proporlportion of lmixed - Diesel,Goods & Proporlportion of lmixed - Electric,Goods & Proporlportion of lmixed - Total,Total passenger and goods (incldg. Mixed) All tractions (Cols.5+11),Total Departmental (All traction)
1950-51,151,NA,3,154,9.28,15.55,110,NA,1,111,265,12
1955-56,172,NA,3,175,10.92,18.25,131,NA,2,133,308,14
1960-61,186,NA,4,190,14.05,24.60,149,10,2,161,351,22
1961-62,188,NA,4,192,14.5,25.32,152,9,6,167,359,21
1962-63,191,1,4,196,14.89,27.27,148,15,11,174,370,22
1963-64,193,1,5,199,15.22,28.28,139,31,12,182,381,24
1964-65,199,1,7,207,15.85,30.45,126,42,15,183,390,27
1965-66,204,2,8,214,16.08,31.37,118,55,20,193,407,27
1966-67,202,7,10,219,18.1,34.53,109,59,22,190,409,24
1967-68,199,9,12,220,19.41,37.77,104,66,25,195,415,20
1968-69,195,10,15,220,20.61,40.90,96,75,29,200,420,18
1969-70,193,13,17,223,22.14,43.13,94,82,32,208,431,19
1970-71,190,17,18,225,23.05,46.2,85,85,32,202,427,16
1971-72,188,22,18,228,23.93,48.95,81,92,34,207,435,15
1972-73,182,25,16,223,26.90,55.16,74,96,37,207,430,13
1973-74,161,29,15,205,28.07,57.47,59,94,34,187,392,10
1974-75,150,30,16,196,26.76,55.35,61,98,38,197,393,9
1975-76,169,35,24,228,30.38,63.05,62,109,44,215,443,12
1976-77,166,46,29,241,31.91,66.83,58,118,49,225,446,12
1977-78,165,54,35,254,33.38,70.04,55,122,49,226,480,11
1978-79,151,62,36,249,33.69,71.63,43,122,45,210,459,9
1979-80,148,68,38,254,35.05,73.49,37,124,42,203,457,10
1980-81,145,73,40,258,35.55,75.19,30,128,42,200,458,9
1981-82,130,82,44,256,36.23,76.65,22,136,52,210,466,10
1982-83,130,90,45,265,37.29,78.82,19,141,56,216,481,11
1983-84,127,101,46,274,38.73,82.02,16,143,57,216,491,12
1984-85,121,112,48,281,39.26,82.96,15,142,58,215,496,12
1985-86,121,118,53,292,40.31,85.23,11,150,64,225,517,12
1986-87,114,121,55,290,42.14,89.36,9,160,69,238,528,11
1987-88,108,127,60,295,44.29,95.29,6,161,73,240,535,10
1988-89,101,134,73,308,45.56,98.59,5,157,78,240,547,9
1989-90,92,146,82,320,46.77,100.86,4,155,84,243,562,8
1990-91,79,154,82,315,48.37,104.23,3,151,91,245,560,8
1991-92,72,162,88,322,49.38,107.15,3,151,96,250,572,7
1992-93,55,172,99,326,50.52,110.16,2,144,103,249,574,6
1993-94,33,189,109,331,51.68,112.77,1,131,112,244,575,7
1994-95,12,217,112,341,52.56,116.04,NA,121,120,241,582,6
1995-96,5,231,112,348,54.92,122.36,NA,118,128,246,594,6
1996-97,3,235,116,354,57.01,12761,NA,117,132,249,603,6
1997-98,1,235,127,363,55.07,124.04,NA,113,138,251,614,6
1998-99,NA,243,134,377,56.03,126.85,NA,107,139,246,623,6
1999-00,NA,250,138,388,56.78,129.32,NA,111,150,261,649,7
2000-01,NA,252,141,393,56.05,128.58,NA,112,149,261,654,8
2001-02,NA,252,150,402,59.12,157.40,NA,114,154,268,670,8
2002-03,NA,259,160,419,59.97,162.20,NA,114,160,274,693,8
2003-04,NA,261,164,425,61.56,177.90,NA,111,159,269,694,9
2004-05,NA,261,173,434,61.51,178.65,NA,113,171,283,718,9
2005-06,NA,268,181,449,61.39,178.94,NA,115,176,291,739,7
2006-07,NA,271,191,462,62.53,183.59,NA,119,186,305,768,6
2007-08,NA,278,196,474,64.15,190.75,NA,121,204,325,800,7
2008-09,NA,282,215,497,66.87,209.67,NA,122,218,340,837,6
2009-10,NA,297,229,526,69.03,222.85,NA,129,227,356,882,6
2010-11,NA,311,240,550,73.25,238.65,NA,135,234,368,976,6
2011-12,NA,324,247,572,76.14,249.31,NA,141,250,391,1065,5
2012-13,NA,334,258,591,78.53,275.49,NA,144,257,401,873,4
2013-14,NA,345,271,615,81.77,285.16,NA,149,270,419,874,4
