YEAR,Passenger & Proporlportion of lmixed - Steam,Passenger & Proporlportion of lmixed - Diesel,Passenger & Proporlportion of lmixed - Electric,Passenger & Proporlportion of lmixed - Total,E.M.U. - As the trains are run,E.M.U. - In terms of single unit trains,Goods & Porportion of lmixed - Steam,Goods & Porportion of lmixed - Diesel,Goods & Porportion of lmixed - Electric,Goods & Porportion of lmixed - Total,Total passenger and goods (incldg. Mixed) All tractions (Cols. 5+11),Total Departmental (All traction)
1950-51,91,NA,3,94,7.39,13.26,76,NA,1,77,171,7
1955-56,103,NA,3,106,9.07,16.49,92,NA,2,94,200,8
1960-61,111,NA,4,115,12.12,22.4,101,9,2,112,227,11
1961-62,112,NA,4,116,12.52,24.05,101,9,5,115,231,12
1962-63,115,NA,4,119,12.9,24.98,98,12,10,120,239,14
1963-64,116,NA,5,121,13.25,25.88,88,27,12,127,248,15
1964-65,120,NA,7,127,13.99,28.13,76,35,15,126,253,17
1965-66,123,1,7,131,14.07,28.73,72,42,20,134,265,18
1966-67,120,5,9,134,16.08,31.97,64,46,22,132,266,16
1967-68,117,7,11,135,17.25,34.46,61,52,25,138,273,15
1968-69,112,9,13,134,18.33,37.2,55,58,29,142,276,12
1969-70,110,10,15,135,19.82,39.46,53,63,32,148,283,12
1970-71,105,15,16,136,20.59,42.03,48,65,31,144,280,10
1971-72,105,18,17,140,21.42,44.64,44,71,34,149,289,10
1972-73,102,20,14,136,24.36,50.69,41,72,37,150,286,9
1973-74,94,22,14,130,25.55,53.28,34,70,34,138,268,7
1974-75,92,21,14,127,24.57,51.4,36,73,38,147,274,7
1975-76,96,25,22,143,27.86,58.54,37,82,44,163,306,9
1976-77,92,34,27,153,29.31,62.14,32,89,48,169,322,9
1977-78,91,41,33,165,30.75,65.26,30,93,49,172,337,9
1978-79,82,47,35,164,31.07,66.85,22,94,45,161,325,8
1979-80,83,51,37,171,32.47,68.8,18,97,41,156,327,7
1980-81,79,55,39,173,32.97,70.33,15,100,41,156,329,7
1981-82,71,61,42,174,33.6,71.53,12,105,52,169,343,8
1982-83,68,68,43,179,34.64,73.67,10,108,56,174,353,8
1983-84,65,77,44,186,36.03,76.62,7,112,57,176,362,9
1984-85,62,84,46,192,36.63,77.7,7,112,57,176,368,9
1985-86,62,89,51,202,37.67,79.95,4,115,64,183,385,9
1986-87,57,90,53,200,39.46,83.99,3,123,69,195,395,9
1987-88,56,92,59,207,41.57,89.84,3,124,72,199,406,7
1988-89,51,97,71,219,42.85,93.17,2,121,77,200,419,7
1989-90,44,105,81,230,44.08,95.47,1,118,83,202,432,6
1990-91,36,111,81,228,45.51,98.5,1,112,90,203,431,6
1991-92,31,116,86,233,46.4,101.24,1,111,96,208,441,5
1992-93,20,124,97,241,47.38,103.72,1,105,103,209,450,5
1993-94,11,135,107,253,48.53,106.81,NA,101,111,212,465,5
1994-95,2,156,111,269,49.29,109.29,NA,99,119,218,487,5
1995-96,NA,171,110,281,51.6,115.48,NA,99,127,226,507,5
1996-97,NA,175,114,289,53.68,120.76,NA,99,132,231,520,5
1997-98,NA,178,125,303,51.72,117.17,NA,101,138,239,542,5
1998-99,NA,188,133,321,52.66,119.92,NA,97,139,236,557,5
1999-00,NA,196,137,333,53.37,122.29,NA,102,149,251,584,6
2000-01,NA,200,140,340,52.69,121.63,NA,103,149,252,591,7
2001-02,NA,199,148,347,55.71,147.99,NA,105,154,259,607,7
2002-03,NA,206,159,365,57.22,154.53,NA,105,160,265,694,7
2003-04,NA,210,163,373,59.71,172.67,NA,103,159,262,614,9
2004-05,NA,212,173,385,61.11,177.50,NA,107,171,278,718,9
2005-06,NA,223,181,404,61.39,178.94,NA,111,176,287,739,7
2006-07,NA,230,191,421,62.53,183.59,NA,116,186,303,768,6
2007-08,NA,244,197,441,64.15,190.75,NA,120,204,324,800,6
2008-09,NA,253,214,467,66.87,209.67,NA,120,218,339,687,6
2009-10,NA,269,229,498,69.03,222.85,NA,127,227,355,798,6
2010-11,NA,283,240,523,73.25,238.65,NA,133,234,367,705,6
2011-12,NA,299,247,547,76.14,249.31,NA,140,250,390,818,5
2012-13,NA,312,258,570,78.53,275.49,NA,143,257,400,673,4
2013-14,NA,324,271,595,81.77,285.16,NA,148,270,418,696,4
