YEAR,Passenger & Proporlportion of lmixed - Steam,Passenger & Proporlportion of lmixed - Diesel,Passenger & Proporlportion of lmixed - Electric,Passenger & Proporlportion of lmixed - Total,E.M.U. - As the trains are run,E.M.U. - In terms of single unit trains,Goods & Porportion of lmixed - Steam,Goods & Porportion of lmixed - Diesel,Goods & Porportion of lmixed - Electric,Goods & Porportion of lmixed - Total,Total passenger and goods,Total Departmental (All traction)
1950-51,55,NA,NA,55,1.89,2.29,31,NA,NA,31,86,5
1955-56,63,NA,NA,63,1.85,1.77,35,NA,NA,35,98,6
1960-61,69,NA,NA,69,1.93,2.20,44,1,NA,45,114,9
1961-62,70,NA,NA,70,1.98,2.27,46,1,NA,47,117,8
1962-63,70,NA,NA,70,1.99,2.29,46,3,NA,49,119,8
1963-64,71,NA,NA,71,1.97,2.40,47,4,NA,51,122,9
1964-65,73,NA,NA,73,1.86,2.32,45,8,NA,53,126,9
1965-66,75,NA,1,76,2.01,2.64,42,12,0.3,55,131,8
1966-67,77,NA,1,78,2.02,2.56,41,12,NA,53,131,7
1967-68,76,1,1,78,2.16,3.31,40,13,NA,53,131,6
1968-69,77,1,1,79,2.28,3.70,39,16,NA,55,134,6
1969-70,77,2,2,81,2.32,3.67,37,19,0.3,56,137,6
1970-71,78,2,2,82,2.46,4.17,35,19,0.3,54,136,5
1971-72,77,2,2,81,2.51,4.32,33,21,0.3,54,135,4
1972-73,75,3,2,80,2.54,4.47,31,22,0.3,53,133,4
1973-74,61,6,2,69,2.52,4.19,22,23,0.3,45,114,2
1974-75,52,8,2,62,2.19,3.95,22,25,0.3,47,109,2
1975-76,67,9,2,78,2.52,4.51,24,26,0.3,50,128,3
1976-77,69,10,2,81,2.6,4.69,25,28,0.4,53,134,2
1977-78,68,12,2,82,2.63,4.78,23,28,0.3,51,133,2
1978-79,62,14,2,78,2.62,4.78,19,28,0.3,47,125,2
1979-80,60,15,2,77,2.58,4.69,17,27,0.3,44,121,2
1980-81,60,17,2,79,2.58,4.86,13,28,0.3,41,120,2
1981-82,54,19,2,75,2.63,5.12,9,30,0.3,39,114,2
1982-83,56,20,2,78,2.65,5.15,8,32,0.3,40,118,2
1983-84,57,22,2,81,2.7,5.4,7,31,0.3,38,119,2
1984-85,55,25,2,82,2.63,5.26,7,29,0.3,36,118,2
1985-86,54,26,2,82,2.64,5.28,6,34,0.3,40,122,2
1986-87,53,27,2,82,2.68,5.37,5,37,0.3,42,124,2
1987-88,49,31,2,82,2.72,5.45,3,36,0.3,39,121,3
1988-89,47,32,2,81,2.71,5.42,3,35,0.3,38,120,3
1989-90,46,36,2,84,2.69,5.39,2,36,0.3,38,122,2
1990-91,41,38,2,81,2.86,5.73,2,38,0.3,40,121,2
1991-92,40,40,2,82,2.93,5.91,2,38,0.4,40,123,2
1992-93,34,42,2,78,3.14,6.44,1,38,0.4,39,117,2
1993-94,22,47,2,71,3.15,5.96,1,30,0.4,31,101,2
1994-95,9,55,2,66,3.27,6.75,NA,22,0.2,22,88,1
1995-96,5,55,2,62,3.32,6.88,NA,19,0.2,19,80,1
1996-97,2,54,2,58,3.33,6.85,NA,17,0.2,17,76,1
1997-98,1,50,2,53,3.35,6.87,NA,11,0.2,11,64,1
1998-99,1,49,1,51,3.37,6.93,NA,9,NA,9,59,1
1999-00,NA,48,1,49,3.41,7.03,NA,9,NA,9,58,1
2000-01,NA,47,1,48,3.36,6.95,NA,9,NA,9,57,1
2001-02,NA,48,1,49,3.41,9.41,NA,9,NA,9,57,1
2002-03,NA,47,1,48,2.75,7.67,NA,9,NA,9,57,NA
2003-04,NA,45,1,46,1.85,5.23,NA,7,NA,7,53,1
2004-05,NA,43,1,44,0.40,1.15,NA,6,NA,6,50,1
2005-06,NA,39,NA,39,NA,NA,NA,4,NA,4,43,1
2006-07,NA,34,NA,34,NA,NA,NA,3,NA,3,37,NA
2007-08,NA,28,NA,28,NA,NA,NA,NA,NA,NA,30,NA
2008-09,NA,23,NA,23,NA,NA,NA,NA,NA,NA,25,NA
2009-10,NA,20,NA,20,NA,NA,NA,1,NA,1,21,NA
2010-11,NA,18,NA,18,NA,NA,NA,1,NA,1,20,NA
2011-12,NA,17,NA,17,NA,NA,NA,1,NA,1,18,NA
2012-13,NA,15,NA,15,NA,NA,NA,1,NA,1,16,NA
2013-14,NA,148,NA,14,NA,NA,NA,1,NA,1,15,NA
