Category,Name of Undertakings,Fleet strength as on 31.3.80 - No.,Average daily no of buses operated - No.,Vehicle performed gross - Million,Vehicle km effective - Million,No of passenger oarried - Million,Traffic Actual - Rs. Lakhs,Receipts Expected - Rs. Lakhs,Passenger Kms performed - Million
City servies,Amts Ahmedabad,593,521,37.52,36.14,280.3,902.94,1665.41,1230.98
City servies,Bestu Bombay,1929,1740,142.25,139.1,1519.92,4409.86,5697.77,8250.25
City servies,Kmtu Kolhapur,62,55,3.99,3.88,27.03,102.02,117.99,176.43
City servies,Pmt Pune,407,293,23.74,23.17,162.89,579.14,723.02,972.49
City servies,Dtc Delhi,2996,2288,204.4,181.07,901.17,3161.77,3808.98,9921.69
City servies,Pct Madras,1697,1604,122.19,107.54,856.27,2681.76,3163.7,6111.87
City servies,Smtu Sholapur,50,41,2.9,2.83,20.26,65.2,107.28,89.98
City District or Inter State Servies,Apstru Hyderabad,6994,5207,592.76,581.15,1166.71,12890.74,16887.56,22434.07
City District or Inter State Servies,Astc Gauhati,783,430,30.98,30.51,28.08,676.92,965.92,1009.12
City District or Inter State Servies,Bsrtc Patna,1699,1058,85.67,83.48,53.78,1711.39,2630.65,2922.77
City District or Inter State Servies,Gsrtc Ahmedabd,6404,4925,533.85,528.19,1167.99,12034.46,20079.51,21611.94
City District or Inter State Servies,Hr Chandigarh,2297,2214,209.5,204.09,240.26,3778.01,4721.57,8656.62
City District or Inter State Servies,Hrtc Simla,815,792,51.66,51.19,43.31,1219.29,1525.3,1836.98
City District or Inter State Servies,J&Krtc srinagar,754,603,31.4,30.76,27.63,537.23,676.04,1010.26
City District or Inter State Servies,Ksrtc Bangalor,4908,3512,345.3,337,781.54,8585.6,11041.3,15464.82
City District or Inter State Servies,Ksrtc Trivandrum,3021,2293,226.68,224.19,702.44,5318.93,6716.56,10365.19
City District or Inter State Servies,Bmcl Bombay,111,79,12.43,12.27,26.58,181.66,307.98,415.35
City District or Inter State Servies,Msrtc Bombay,9370,7318,676.61,669.73,1096.97,17502.07,20024.82,29484.28
City District or Inter State Servies,Mrspl Imphal,102,40,2.53,2.46,1.26,44.88,77.41,64.27
City District or Inter State Servies,Ortc Behrampur,321,269,18.56,18.36,23.42,342.68,498.86,728.24
City District or Inter State Servies,Pr Chandigarh,1878,1864,160.1,157.02,274.09,2706.96,3236.07,6939.54
City District or Inter State Servies,Prtc Patiala,898,846,77.75,75.07,103.32,1313.37,1580.66,2367.04
City District or Inter State Servies,Rsrtc Jaipur,2213,1638,167.94,160.51,174.43,3148.08,3822.61,7786.07
City District or Inter State Servies,Crc Kumbakanam,704,583,74.69,72.92,214.7,1556.16,2057.59,3755.41
City District or Inter State Servies,TTC Madras Express,385,309,66.64,65.38,12.53,1262.28,1553.94,2429.02
City District or Inter State Servies,TTC Madras Disst.,434,387,47.72,45.64,65.78,1039.85,1270.47,2080.55
City District or Inter State Servies,Ctc Coimbatore,856,767,83.21,80.28,222.43,1975.69,2459.62,3981.89
City District or Inter State Servies,Trtc Agartala,112,48,2.73,2.7,1.65,57.44,76.89,95.22
City District or Inter State Servies,Uprtcl Lucknow,5679,4368,401.06,394.69,449.72,7972.67,10685.5,15164.35
City District or Inter State Servies,Cstcl Calcutta,1059,721,45.32,43.71,363.79,1149.36,1392.51,2157.7
City District or Inter State Servies,Nbstc Cooch Behar,354,271,2.2,22.12,47.41,404.94,497.65,833.54
City District or Inter State Servies,Mst Misoram,59,15,0.52,0.45,0.09,12.55,31.56,6.08
Total,Total,59854,47096,4504.8,4387.6,11056.99,99325.88,127479.08,190744.01
