S. No.,Name of State Road Transport Undertaking (SRTU),Total Revenue (Rs. Lakh) - 2016-17,Total Revenue (Rs. Lakh) - 2017-18,Total Revenue (Rs. Lakh) - 2018-19,Total Cost (Rs. Lakh) - 2016-17,Total Cost (Rs. Lakh) - 2017-18,Total Cost (Rs. Lakh) - 2018-19,Net Profit/Loss (Rs. Lakh) - 2016-17,Net Profit/Loss (Rs. Lakh) - 2017-18,Net Profit/Loss (Rs. Lakh) - 2018-19
1,Andhra Pradesh SRTC,540624,567188.00,612584.00,619617,687727.00,708712.00,-78993,-120539.00,-96128.00
2,Assam STC,11704,16481.30,17500.97,19491,20388.81,20642.61,-7787,-3907.51,-3141.64
3,Bangalore Metropolitan TC,210610,222699.51,229329.55,236701,244460.19,264278.29,-26091,-21760.68,-34948.74
4,Bihar SRTC,4366,5652.63,108641.84,5353,7341.18,8766.88,-987,-1688.55,99874.96
5,Delhi TC,247110,289834.73,271089.59,630321,727752.93,797004.14,-383211,-437918.20,-525914.55
6,Gujarat SRTC,262262,260357.09,289847.34,303152,318446.87,355747.05,-40889,-58089.78,-65899.71
7,Himachal RTC,94551,106614.00,111662.00,104078,118471.00,127141.00,-9527,-11857.00,-15479.00
8,J&K SRTC,12805,13526.46,12869.74,15745,93677.26,21313.60,-2940,-80150.80,-8443.86
9,Karnataka SRTC ,317351,348828.84,372435.32,335059,348378.84,385928.47,-17708,450.00,-13493.15
10,Kerala SRTC,186111,203071.00,211262.00,364373,404811.64,336532.50,-178262,-201740.64,-125270.50
11,Maharashtra SRTC,705633,716800.49,812022.60,759990,819626.82,906940.10,-54357,-102826.33,-94917.50
12,Meghalaya STC,1318,1140.14,1346.23,1464,1839.00,1780.00,-146,-698.86,-433.77
13,North Bengal STC,13366,14818.02,17228.18,28441,31151.54,34230.75,-15075,-16333.52,-17002.57
14,North Eastern Karnataka RTC,151942,163544.37,179069.61,157388,166874.95,185892.97,-5446,-3330.58,-6823.36
15,North Western Karnataka RTC,174038,188444.89,202760.33,185994,195642.42,211666.98,-11956,-7197.53,-8906.65
16,Odisha SRTC,9939,10582.26,11731.36,9685,10313.35,11534.68,254,268.91,196.68
17,Pepsu RTC,50500,59351.48,71943.87,52288,55735.82,62309.04,-1788,3615.66,9634.83
18,Rajasthan SRTC,177325,219335.94,216241.94,389082,230842.16,223834.50,-211757,-11506.22,-7592.56
19,South Bengal STC,18773,21332.42,24944.07,23908,27371.18,34436.22,-5135,-6038.76,-9492.15
20,Telangana SRTC,429571,463640.78,491911.80,504499,538525.51,584778.27,-74928,-74884.73,-92866.47
21,Tripura RTC,51,46.34,39.25,0,0.00,0.00,51,46.34,39.25
22,Uttar Pradesh SRTC (P),396748,446281.00,460138.29,387028,434011.77,456153.19,9719,12269.23,3985.10
23,Uttarakhand  TC,49568,55899.78,56595.95,51503,58201.45,60053.91,-1935,-2301.67,-3457.96
24,West Bengal Transport Corp.,34522,39503.00,32576.00,45337,45384.00,44924.00,-10815,-5881.00,-12348.00
NA,TOTAL Corporations,4100789,4434974.47,4815771.83,5230496,5586975.69,5844601.15,-1129708,-1152001.22,-1028829.32
25,Kadamba TC Ltd.,16704,16968.69,20098.64,17057,18072.19,22386.64,-353,-1103.50,-2288.00
26,Metro TC (Chennai) Limited,139570,139492.85,153723.36,191518,212538.54,219832.06,-51948,-73045.69,-66108.70
27,PUNBUS,49474,50442.48,58436.18,48940,50036.05,57922.50,534,406.43,513.68
28,State Exp.TC TN Ltd.,68002,68668.25,70859.96,85739,94176.92,99967.59,-17737,-25508.67,-29107.63
29,TN STC (Coimbatore) Ltd.,126594,131362.44,147443.01,174674,231748.30,219822.99,-48080,-100385.86,-72379.98
30,TN STC (Kumbakonam) Ltd.,163549,172421.21,201581.97,211272,242873.45,255874.53,-47722,-70452.24,-54292.56
31,TN STC (Madurai) Ltd.,106381,111340.80,130699.53,140915,160242.18,187059.77,-34535,-48901.38,-56360.24
32,TN STC (Salem) Ltd.,93184,96644.35,109175.07,123713,169930.50,158305.57,-30530,-73286.15,-49130.50
33,TN STC (Villupuram) Ltd.,164867,175201.90,203522.69,202465,280910.78,241773.53,-37597,-105708.88,-38250.84
34,TN STC ( Tirunelvell) Ltd.,75071,78802.85,91204.22,111873,132257.51,148961.86,-36802,-53454.66,-57757.64
NA,TOTAL Companies,1003396,1041345.82,1186744.63,1308166,1592786.42,1611907.04,-304770,-551440.60,-425162.41
37,Andaman & Nicobar ST,1653,1911.97,2079.27,14010,15458.12,16236.43,-12357,-13546.15,-14157.16
38,Arunachal Pradesh ST,1602,1848.00,1760.00,93,97.96,95.55,1509,1750.04,1664.45
39,Chandigarh TU,17755,14936.71,14153.67,27772,24632.14,22652.36,-10017,-9695.43,-8498.69
40,Haryana ST,143602,142034.95,134287.88,203375,209605.77,219149.83,-59773,-67570.82,-84861.95
41,Mizoram ST,187,155.58,214.69,2620,2817.23,2952.46,-2433,-2661.65,-2737.77
42,Nagaland ST,1080,735.00,875.00,5810,5995.02,6536.11,-4730,-5260.02,-5661.11
43,State Transport Punjab,21384,15869.46,20899.30,25272,23343.04,23159.36,-3888,-7473.58,-2260.06
44,Sikkim NT ,4535,5000.80,5069.22,4904,5612.54,6102.60,-369,-611.74,-1033.38
NA,Total Govt Deptts.,191797,182492.47,179339.03,283856,287561.82,296884.70,-92059,-105069.35,-117545.67
43,Ahemdabad Janmarg Ltd,5747,5534.77,5899.61,14115,12912.75,12317.18,-8368,-7377.98,-6417.57
44,Ahmedabad MTC ,11400,11280.79,12688.96,42151,42006.90,42949.75,-30752,-30726.11,-30260.79
45,BEST Undertaking,129554,111106.47,103477.84,219141,206874.84,204762.90,-89587,-95768.37,-101285.06
46,Kolhapur MTU,4603,4604.30,4685.11,5021,5473.87,5008.66,-418,-869.57,-323.55
47,Navi Mumbai MT,12169,13603.24,14410.59,16202,17745.08,19650.77,-4033,-4141.84,-5240.18
48,Pune Mahamandal ,72093,65861.17,61897.25,93138,86323.32,86601.92,-21044,-20462.15,-24704.67
49,Sholapur MT,1891,983.73,977.62,3884,1706.09,3097.95,-1993,-722.36,-2120.33
50,Thane MT,8103,10354.08,9850.00,14273,36283.53,21582.50,-6170,-25929.45,-11732.50
51,Kalyan Dombivali MT,2318,2024.21,1680.77,5074,4842.53,4668.21,-2756,-2818.32,-2987.44
NA,Total Muncipal undertakings,247877,225352.76,215567.75,412999,414168.91,400639.84,-165122,-188816.15,-185072.09
52,DELHI INTEGRATED MTS,30890,36101.00,37861.00,53011,66731.00,73063.00,-22121,-30630.00,-35202.00
NA,Total Associate members,30890,36101.00,37861.00,53011,66731.00,73063.00,-22121,-30630.00,-35202.00
53,Agra - Mathura City TSL,2333,2267.39,2809.15,2341,2501.62,2809.89,-9,-234.23,-0.74
54,Jaipur City TS Ltd.,7231,8053.44,10303.72,11299,11051.86,12476.66,-4067,-2998.42,-2172.94
55,MEERUT CITY TSL,4626,4388.42,5411.79,2500,3021.22,2391.47,2125,1367.20,3020.31
56,KANPUR CITY TSL,1311,1545.66,1627.57,2442,2682.62,3055.15,-1131,-1136.96,-1427.58
NA,Total Special Purpose Vehicle,15501,16254.91,20152.23,18582,19257.32,20733.17,-3081,-3002.41,-580.95
NA,Total (Reporting SRTUs),5590250,5936521.43,6455436.47,7307110,7967481.16,8247828.90,-1716860,-2030959.73,-1792392.43
