S. No.,Name of State Road Transport Undertaking (SRTU),Traffic Revenue (Lakh) - Revenue from Passengers - 2018-19,Traffic Revenue (Lakh) - Revenue from Passengers - 2017-18,Traffic Revenue (Lakh) - Revenue from Passengers - 2016-17,Traffic Revenue (Lakh) - Others - 2018-19,Traffic Revenue (Lakh) - Others - 2017-18,Traffic Revenue (Lakh) - Others - 2016-17,Traffic Revenue (Lakh) - Total of Traffic Earnings - 2018-19,Traffic Revenue (Lakh) - Total of Traffic Earnings - 2017-18,Traffic Revenue (Lakh) - Total of Traffic Earnings - 2016-17,Non-Traffic Revenue (Lakh) - Income from Advertisements - 2018-19,Non-Traffic Revenue (Lakh) - Income from Advertisements - 2017-18,Non-Traffic Revenue (Lakh) - Income from Advertisements - 2016-17,Non-Traffic Revenue (Lakh) - Sale Proceeds from scraps - 2018-19,Non-Traffic Revenue (Lakh) - Sale Proceeds from scraps - 2017-18,Non-Traffic Revenue (Lakh) - Sale Proceeds from scraps - 2016-17,Non-Traffic Revenue (Lakh) - Receipt from imposition of penalities/fines - 2018-19,Non-Traffic Revenue (Lakh) - Receipt from imposition of penalities/fines - 2017-18,Non-Traffic Revenue (Lakh) - Receipt from imposition of penalities/fines - 2016-17,Non-Traffic Revenue (Lakh) - Other Receipts - 2018-19,Non-Traffic Revenue (Lakh) - Other Receipts - 2017-18,Non-Traffic Revenue (Lakh) - Other Receipts - 2016-17,Total Non-Traffic Revenue(Lakhs) - 2018-19,Total Non-Traffic Revenue(Lakhs) - 2017-18,Total Non-Traffic Revenue(Lakhs) - 2016-17,Subsidies/ Reimbursements (Lakh) - Subsidies as reimbursement of fare concessions provided to passenger by SRTU - 2018-19,Subsidies/ Reimbursements (Lakh) - Subsidies as reimbursement of fare concessions provided to passenger by SRTU - 2017-18,Subsidies/ Reimbursements (Lakh) - Subsidies as reimbursement of fare concessions provided to passenger by SRTU - 2016-17,"Subsidies/ Reimbursements (Lakh) - Any other form of subsidies (not as capital receipts) received from state government, treated as income - 2018-19","Subsidies/ Reimbursements (Lakh) - Any other form of subsidies (not as capital receipts) received from state government, treated as income - 2017-18","Subsidies/ Reimbursements (Lakh) - Any other form of subsidies (not as capital receipts) received from state government, treated as income - 2016-17",Subsidies/ Reimbursements (Lakh) - Total Subsidies/Reimbursements - 2018-19,Subsidies/ Reimbursements (Lakh) - Total Subsidies/Reimbursements - 2017-18,Subsidies/ Reimbursements (Lakh) - Total Subsidies/Reimbursements - 2016-17,Total Reveunue (in lakh) - 2018-19,Total Reveunue (in lakh) - 2017-18,Total Reveunue (in lakh) - 2016-17,Staff Costs (Rs. Lakh) - 2018-19,Staff Costs (Rs. Lakh) - 2017-18,Staff Costs (Rs. Lakh) - 2016-17,Fuel and Lubricants Cost (Rs. Lakh) - 2018-19,Fuel and Lubricants Cost (Rs. Lakh) - 2017-18,Fuel and Lubricants Cost (Rs. Lakh) - 2016-17, Cost of Tyers and Tubes  (Rs. Lakh) - 2018-19, Cost of Tyers and Tubes  (Rs. Lakh) - 2017-18, Cost of Tyers and Tubes  (Rs. Lakh) - 2016-17,Cost of Spares (Rs. Lakh) - 2018-19,Cost of Spares (Rs. Lakh) - 2017-18,Cost of Spares (Rs. Lakh) - 2016-17,Interest (Rs. Lakh) - 2018-19,Interest (Rs. Lakh) - 2017-18,Interest (Rs. Lakh) - 2016-17,Depreciation (Rs. Lakh) - 2018-19,Depreciation (Rs. Lakh) - 2017-18,Depreciation (Rs. Lakh) - 2016-17,Payments to Hired Buses(Rs.  Lakh) - 2018-19,Payments to Hired Buses(Rs.  Lakh) - 2017-18,Payments to Hired Buses(Rs.  Lakh) - 2016-17,Payment for accidents compensation (In lakh) - 2018-19,Payment for accidents compensation (In lakh) - 2017-18,Payment for accidents compensation (In lakh) - 2016-17,Other Cost (Rs. Lakh) - 2018-19,Other Cost (Rs. Lakh) - 2017-18,Other Cost (Rs. Lakh) - 2016-17,Taxes (Rs. Lakh) - M.V. Tax - 2018-19,Taxes (Rs. Lakh) - M.V. Tax - 2017-18,Taxes (Rs. Lakh) - M.V. Tax - 2016-17,Taxes (Rs. Lakh) - Passenger Taxes - 2018-19,Taxes (Rs. Lakh) - Passenger Taxes - 2017-18,Taxes (Rs. Lakh) - Passenger Taxes - 2016-17,Taxes (Rs. Lakh) - GST - 2018-19,Taxes (Rs. Lakh) - GST - 2017-18,Taxes (Rs. Lakh) - GST - 2016-17,Taxes (Rs. Lakh) - Other Taxes - 2018-19,Taxes (Rs. Lakh) - Other Taxes - 2017-18,Taxes (Rs. Lakh) - Other Taxes - 2016-17,Taxes (Rs. Lakh) - Total Taxes - 2018-19,Taxes (Rs. Lakh) - Total Taxes - 2017-18,Taxes (Rs. Lakh) - Total Taxes - 2016-17,Other Cost(Misc)(Rs. Lakh) - 2018-19,Other Cost(Misc)(Rs. Lakh) - 2017-18,Other Cost(Misc)(Rs. Lakh) - 2016-17,Total Cost (In lakh) - 2018-19,Total Cost (In lakh) - 2017-18,Total Cost (In lakh) - 2016-17
1,Andhra Pradesh SRTC,485368.00,452879.00,446321.00,0.00,0.00,0.00,485368.00,452879.00,446321.00,1583.00,163.00,1650.00,3906.00,4473.00,3074.00,1048.00,1316.00,993.00,57355.00,47368.00,38314.00,63892.00,53320.00,44031.00,63324.00,60989.00,50272.00,0.00,0.00,0.00,63324.00,60989.00,50272.00,612584.00,567188.00,540624.00,335270.00,344837.00,275982.00,163524.00,139182.00,141069.00,8438.00,7323.00,7118.00,8247.00,8286.00,9353.00,28224.00,25700.00,25405.00,14397.00,17189.00,15324.00,79514.00,75308.00,74745.00,3675.00,2428.00,2973.00,0.00,0.00,0.00,30867.00,30294.00,29719.00,NA,NA,NA,736.00,1818.00,1047.00,13151.00,12510.00,11597.00,44754.00,44622.00,42363.00,22669.00,22852.00,25285.00,708712.00,687727.00,619617.00
2,Assam STC,6125.69,5915.26,5717.85,2323.57,1866.53,1336.54,8449.26,7781.79,7054.39,15.37,13.73,NA,12.37,77.19,5.88,NA,NA,NA,2758.37,2688.59,1143.96,2786.11,2779.51,1149.84,NA,NA,NA,6265.60,5920.00,3500.00,6265.60,5920.00,3500.00,17500.97,16481.30,11704.23,9425.11,9010.35,8962.15,5528.27,5467.12,4748.79,380.12,373.13,151.63,170.23,167.91,129.05,2018.95,1925.04,1851.47,1846.35,1912.53,2567.98,NA,NA,NA,25.46,30.63,13.89,1245.37,1499.47,1063.98,2.75,2.63,1.86,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.75,2.63,1.86,NA,NA,NA,20642.61,20388.81,19490.80
3,Bangalore Metropolitan TC,183884.04,176470.60,177047.15,0.00,0.00,0.00,183884.04,176470.60,177047.15,2406.83,2079.38,1399.64,829.37,572.47,415.57,368.99,385.56,411.84,22965.28,17363.19,10240.83,26570.47,20400.60,12467.88,18875.04,25828.31,21095.38,NA,NA,NA,18875.04,25828.31,21095.38,229329.55,222699.51,210610.41,139943.69,130517.12,124423.79,75056.54,65610.88,65719.94,1583.48,2373.08,2534.37,9253.11,8206.18,7921.70,2642.63,4921.02,5111.10,14303.70,12447.99,12496.63,0.00,0.00,0.00,541.96,1131.06,1108.91,1583.22,1556.82,1661.19,10205.56,9794.12,9826.12,46.08,50.48,52.55,0.00,0.00,0.00,0.00,0.00,0.00,10251.64,9844.60,9878.67,9118.32,7851.44,5845.11,264278.29,244460.19,236701.41
4,Bihar SRTC,6539.82,5176.17,3563.37,487.25,476.46,795.63,7027.07,5652.63,4359.00,0.00,0.00,0.00,0.00,0.00,7.18,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,7.18,14133.66,0.00,0.00,87481.11,0.00,0.00,101614.77,0.00,0.00,108641.84,5652.63,4366.18,2008.89,2198.30,1991.69,3880.97,3024.98,1029.97,186.77,113.11,123.20,116.90,89.66,59.29,0.00,0.00,0.00,0.00,0.00,0.00,48.81,0.00,0.00,7.45,23.98,18.94,2255.62,1683.71,2029.22,0.00,0.00,0.00,91.55,61.88,19.16,NA,NA,NA,NA,NA,NA,91.55,61.88,19.16,169.92,145.56,81.25,8766.88,7341.18,5352.72
5,Delhi TC,53298.57,56352.52,59670.51,18201.56,18523.82,17613.37,71500.13,74876.34,77283.88,31.46,22.25,61.62,1139.68,829.60,944.84,7746.92,6925.59,7074.65,2017.90,400.48,289.26,10935.96,8177.92,8370.37,6153.50,6080.47,6455.86,182500.00,200700.00,155000.00,188653.50,206780.47,161455.86,271089.59,289834.73,247110.11,169131.28,183154.96,154416.74,42018.23,40039.34,38166.10,1.66,37.17,41.66,460.06,480.23,518.11,525203.38,448747.60,383059.60,16754.77,16866.20,16898.26,124.97,124.91,516.48,32736.64,28845.87,27746.34,NA,2.44,74.81,2069.12,1700.76,1201.86,161.25,201.73,239.84,NA,NA,NA,374.46,373.02,470.83,2604.83,2275.51,1912.53,7968.32,7178.70,6970.64,797004.14,727752.93,630321.27
6,Gujarat SRTC,209119.46,197336.73,186151.26,11474.88,11316.36,12290.96,220594.34,208653.09,198442.22,0.00,0.00,0.00,746.00,815.00,246.00,0.00,0.00,0.00,10609.00,9654.00,12122.00,11355.00,10469.00,12368.00,46106.00,41093.00,46700.00,11792.00,142.00,4752.00,57898.00,41235.00,51452.00,289847.34,260357.09,262262.22,126443.18,127612.25,119144.76,144638.63,121037.93,114169.67,5517.01,5044.86,4924.30,4992.35,3890.96,3609.73,7197.03,8173.96,9152.06,22637.25,15996.88,16422.21,1874.19,2256.13,1609.19,8434.49,5081.73,4328.21,1340.19,1151.28,1291.19,371.12,342.72,372.35,14487.69,13664.78,12878.61,0.00,0.00,0.00,7981.62,6103.28,7357.19,22840.43,20110.78,20608.15,9832.30,8090.11,7892.04,355747.05,318446.87,303151.51
7,Himachal RTC,79901.00,73081.00,64688.85,151.00,425.00,1367.72,80052.00,73506.00,66056.57,100.00,203.00,0.00,237.00,999.00,236.37,0.00,0.00,0.00,773.00,1406.00,757.60,1110.00,2608.00,993.97,16000.00,16000.00,16000.00,14500.00,14500.00,11500.00,30500.00,30500.00,27500.00,111662.00,106614.00,94550.54,58984.00,57526.00,46430.74,38043.00,32607.00,29425.78,2690.00,2538.00,2995.26,3272.00,2923.00,3419.05,2769.00,2604.00,2223.92,5368.00,5222.00,3615.16,6239.00,5095.00,3665.44,98.00,2.00,184.70,0.00,0.00,3880.75,2812.00,2605.00,2164.31,6053.00,6611.00,4296.88,813.00,738.00,1775.98,0.00,0.00,0.00,9678.00,9954.00,8237.17,0.00,0.00,0.00,127141.00,118471.00,104077.97
8,Jammu and Kashmir SRTC,4836.63,4570.61,4475.18,3134.06,3438.59,3469.99,7970.69,8009.20,7945.17,0.00,0.00,0.00,179.27,42.66,11.02,6.69,8.02,8.82,1713.09,2466.58,1840.11,1899.05,2517.26,1859.95,0.00,0.00,0.00,3000.00,3000.00,3000.00,3000.00,3000.00,3000.00,12869.74,13526.46,12805.12,8511.33,81116.00,8080.44,3448.17,3134.66,2903.89,77.55,129.82,125.52,311.72,390.06,344.97,0.00,0.00,0.00,709.49,66.75,628.82,7221.34,7138.34,2799.30,123.76,106.56,96.73,0.00,0.00,0.00,515.24,455.71,408.47,395.00,1139.36,356.65,0.00,0.00,0.00,0.00,0.00,0.00,910.24,1595.07,765.12,0.00,0.00,0.00,21313.60,93677.26,15744.79
9,Karnataka SRTC ,313105.50,297436.48,273744.13,0.00,0.00,0.00,313105.50,297436.48,273744.13,1102.98,618.05,349.71,836.14,739.48,771.97,65.08,66.03,59.77,17864.39,17232.16,15274.73,19868.59,18655.72,16456.18,39461.23,32736.64,27150.86,0.00,0.00,0.00,39461.23,32736.64,27150.86,372435.32,348828.84,317351.17,157936.64,147574.12,144630.41,146897.41,127041.61,117994.86,5487.78,5625.07,6415.12,9639.10,9854.63,9754.27,2186.03,1661.39,1622.88,21908.23,18365.36,17623.52,0.00,0.00,0.00,4060.69,3794.94,4932.50,0.00,0.00,0.00,17335.25,16454.55,15129.98,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,17335.25,16454.55,15129.98,20477.34,18007.17,16955.24,385928.47,348378.84,335058.78
10,Kerala SRTC,209155.00,200607.00,182745.00,NA,NA,NA,209155.00,200607.00,182745.00,2107.00,2464.00,3366.00,NA,NA,NA,NA,NA,NA,NA,NA,NA,2107.00,2464.00,3366.00,NA,NA,NA,NA,NA,NA,0.00,0.00,0.00,211262.00,203071.00,186111.00,100932.00,108972.00,103757.00,99454.00,96132.00,89545.00,410.50,237.81,260.46,627.00,767.83,940.66,28376.00,72331.00,60589.00,8252.00,7937.00,7446.00,NA,NA,NA,NA,NA,NA,98481.00,118434.00,101835.00,0.00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,0.00,0.00,NA,NA,NA,336532.50,404811.64,364373.12
