S. No.,Name of State Road Transport Undertaking (SRTU),Revenue/Km(Paise) - 2018-19,Revenue/Km(Paise) - 2017-18,Revenue/Km(Paise) - 2016-17,Revenue/Bus/Day (Rs.) - 2018-19,Revenue/Bus/Day (Rs.) - 2017-18,Revenue/Bus/Day (Rs.) - 2016-17,Cost/KM (paise) - 2018-19,Cost/KM (paise) - 2017-18,Cost/KM (paise) - 2016-17,Cost/Bus/Day (Rs.) - 2018-19,Cost/Bus/Day (Rs.) - 2017-18,Cost/Bus/Day (Rs.) - 2016-17,Profit/Loss per Km (Paise) - 2018-19,Profit/Loss per Km (Paise) - 2017-18,Profit/Loss per Km (Paise) - 2016-17,Profit/Loss per Bus/Day (Rs.) - 2018-19,Profit/Loss per Bus/Day (Rs.) - 2017-18,Profit/Loss per Bus/Day (Rs.) - 2016-17,Staff Cost as % of Total Cost - 2018-19,Staff Cost as % of Total Cost - 2017-18,Staff Cost as % of Total Cost - 2016-17,Fuel and Lubricant Cost as % of Total Cost - 2018-19,Fuel and Lubricant Cost as % of Total Cost - 2017-18,Fuel and Lubricant Cost as % of Total Cost - 2016-17,Tyres and Tubes Cost as % of Total Cost - 2018-19,Tyres and Tubes Cost as % of Total Cost - 2017-18,Tyres and Tubes Cost as % of Total Cost - 2016-17,Spares Cost as % of Total Cost - 2018-19,Spares Cost as % of Total Cost - 2017-18,Spares Cost as % of Total Cost - 2016-17,Interest Cost as % of Total Cost - 2018-19,Interest Cost as % of Total Cost - 2017-18,Interest Cost as % of Total Cost - 2016-17,Depreciation Cost as % of Total Cost - 2018-19,Depreciation Cost as % of Total Cost - 2017-18,Depreciation Cost as % of Total Cost - 2016-17,Payments to Hired Buses as % of Total Cost - 2018-19,Payments to Hired Buses as % of Total Cost - 2017-18,Payments to Hired Buses as % of Total Cost - 2016-17,Payment for accidents compensation as % of Total Cost - 2018-19,Payment for accidents compensation as % of Total Cost - 2017-18,Payment for accidents compensation as % of Total Cost - 2016-17,Tax Cost as % of Total Cost - 2018-19,Tax Cost as % of Total Cost - 2017-18,Tax Cost as % of Total Cost - 2016-17,Other Costs as % of Total Cost - 2018-19,Other Costs as % of Total Cost - 2017-18,Other Costs as % of Total Cost - 2016-17,Staff Cost per Revenue Earning Km(Rs./Rev. Earning Kms) - 2018-19,Staff Cost per Revenue Earning Km(Rs./Rev. Earning Kms) - 2017-18,Staff Cost per Revenue Earning Km(Rs./Rev. Earning Kms) - 2016-17,Fuel and Lubricant Cost per Revenue Earning Km(Rs./Rev. Earning Kms) - 2018-19,Fuel and Lubricant Cost per Revenue Earning Km(Rs./Rev. Earning Kms) - 2017-18,Fuel and Lubricant Cost per Revenue Earning Km(Rs./Rev. Earning Kms) - 2016-17,Tyres and Tubes Cost per Revenue Earning Km(Rs./Rev. Earning Kms) - 2018-19,Tyres and Tubes Cost per Revenue Earning Km(Rs./Rev. Earning Kms) - 2017-18,Tyres and Tubes Cost per Revenue Earning Km(Rs./Rev. Earning Kms) - 2016-17,Spares Cost per Revenue Earning Km(Rs./Rev. Earning Kms) - 2018-19,Spares Cost per Revenue Earning Km(Rs./Rev. Earning Kms) - 2017-18,Spares Cost per Revenue Earning Km(Rs./Rev. Earning Kms) - 2016-17,Interest Cost per Revenue Earning Km(Rs./Rev. Earning Kms) - 2018-19,Interest Cost per Revenue Earning Km(Rs./Rev. Earning Kms) - 2017-18,Interest Cost per Revenue Earning Km(Rs./Rev. Earning Kms) - 2016-17,Depreciation Cost per Revenue Earning Km(Rs./Rev. Earning Kms) - 2018-19,Depreciation Cost per Revenue Earning Km(Rs./Rev. Earning Kms) - 2017-18,Depreciation Cost per Revenue Earning Km(Rs./Rev. Earning Kms) - 2016-17,Payments to Hired Buses per Revenue Earning Km ((Rs./Rev. Earning Kms) - 2018-19,Payments to Hired Buses per Revenue Earning Km (Rs./Rev. Earning Kms) - 2017-18,Payments to Hired Buses per Revenue Earning Km (Rs./Rev. Earning Kms) - 2016-17,Payment for accidents compensation per Revenue Earning Km(Rs./Rev. Earning Kms) - 2018-19,Payment for accidents compensation per Revenue Earning Km(Rs./Rev. Earning Kms) - 2017-18,Payment for accidents compensation per Revenue Earning Km(Rs./Rev. Earning Kms) - 2016-17,Tax Cost per Revenue Earning Km(Rs./Rev. Earning Kms) - 2018-19,Tax Cost per Revenue Earning Km(Rs./Rev. Earning Kms) - 2017-18,Tax Cost per Revenue Earning Km(Rs./Rev. Earning Kms) - 2016-17,Other Costs per Revenue Earning Km(Rs./Rev. Earning Kms) - 2018-19,Other Costs per Revenue Earning Km(Rs./Rev. Earning Kms) - 2017-18,Other Costs per Revenue Earning Km(Rs./Rev. Earning Kms) - 2016-17
1,Andhra Pradesh SRTC,3886.28,3627.92,3259.80,14178.53,13296.31,12269.40,4496.12,4398.93,3736.11,16403.45,16122.05,14062.13,-609.84,-771.01,-476.30,-2224.93,-2825.74,-1792.74,47.31,50.14,44.54,23.07,20.24,22.77,1.19,1.06,1.15,1.16,1.20,1.51,3.98,3.74,4.10,2.03,2.50,2.47,11.22,10.95,12.06,0.52,0.35,0.48,6.31,6.49,6.84,3.20,3.32,4.80,21.27,22.06,16.64,10.37,8.90,8.51,0.54,0.47,0.43,0.52,0.53,0.56,1.79,1.64,1.53,0.91,1.10,0.92,5.04,4.82,4.51,0.23,0.16,0.18,2.84,2.85,2.55,1.44,1.46,1.52
2,Assam STC,7119.14,5655.71,4385.41,3734.26,3402.73,3005.28,8397.11,6996.61,7302.93,4404.60,4209.48,5004.63,-1277.97,-1340.90,-2917.52,-670.35,-806.75,-1999.35,45.66,44.19,45.98,26.78,26.81,24.36,1.84,1.83,0.78,0.82,0.82,0.66,9.78,9.44,9.50,8.94,9.38,13.18,0.00,0.00,0.00,0.12,0.15,0.07,0.01,0.01,0.01,6.03,7.35,4.08,38.34,30.92,33.58,22.49,18.76,17.79,1.55,1.28,0.57,0.69,0.58,0.48,8.21,6.61,6.94,7.51,6.56,9.62,0.00,0.00,0.00,0.10,0.11,0.05,0.01,0.01,0.01,5.07,5.15,3.99
3,Bangalore Metropolitan TC,5522.22,5347.53,5008.33,9412.74,9542.32,9202.79,6363.78,5870.05,5628.78,10847.19,10474.73,10342.86,-841.56,-522.52,-620.45,-1434.46,-932.41,-1140.07,52.95,53.39,52.57,28.40,26.84,27.76,0.60,0.97,1.07,3.50,3.36,3.35,1.00,2.01,2.16,5.41,5.09,5.28,0.00,0.00,0.00,0.21,0.46,0.47,3.88,4.03,4.17,4.05,3.85,5.46,33.70,31.34,29.59,18.07,15.75,15.63,0.38,0.57,0.60,2.23,1.97,1.88,0.64,1.18,1.22,3.44,2.99,2.97,0.00,0.00,0.00,0.13,0.27,0.26,2.47,2.36,2.35,2.58,2.26,1.79
4,Bihar SRTC,45709.29,2457.77,2721.04,51407.41,2674.72,2476.63,3688.52,3191.96,3335.86,4148.33,3473.72,3036.23,42020.77,-734.18,-614.82,47259.07,-798.99,-559.60,22.91,29.94,37.21,44.27,41.21,19.24,2.13,1.54,2.30,1.33,1.22,1.11,0.00,0.00,0.00,0.00,0.00,0.00,0.56,0.00,0.00,0.08,0.33,0.35,1.04,0.84,0.36,27.67,24.92,3.17,8.45,9.56,12.41,16.33,13.15,6.42,0.79,0.49,0.77,0.49,0.39,0.37,0.00,0.00,0.00,0.00,0.00,0.00,0.21,0.00,0.00,0.03,0.10,0.12,0.39,0.27,0.12,10.21,7.95,13.15
5,Delhi TC,11584.48,12216.12,9582.70,19073.22,20001.71,16247.04,34058.40,30673.74,24443.28,56075.32,50222.76,41442.47,-22473.92,-18457.62,-14860.58,-37002.10,-30221.06,-25195.43,21.22,25.17,24.50,5.27,5.50,6.06,0.00,0.01,0.01,0.06,0.07,0.08,65.90,61.66,60.77,2.10,2.32,2.68,0.02,0.02,0.08,4.11,3.96,4.40,0.33,0.31,0.30,1.00,0.99,39.43,72.27,77.20,59.88,17.96,16.88,14.80,0.00,0.02,0.02,0.20,0.20,0.20,224.44,189.14,148.55,7.16,7.11,6.55,0.05,0.05,0.20,13.99,12.16,10.76,1.11,0.96,0.74,3.41,3.03,2.73
6,Gujarat SRTC,2571.45,2447.36,2441.80,9874.44,9711.46,9138.07,3156.09,2993.40,2822.50,12119.49,11878.25,10562.79,-584.64,-546.04,-380.70,-2245.05,-2166.78,-1424.72,35.54,40.07,39.30,40.66,38.01,37.66,1.55,1.58,1.62,1.40,1.22,1.19,2.02,2.57,3.02,6.36,5.02,5.42,0.53,0.71,0.53,2.37,1.60,1.43,6.42,6.32,6.80,3.14,2.90,1.12,11.22,12.00,11.09,12.83,11.38,10.63,0.49,0.47,0.46,0.44,0.37,0.34,0.64,0.77,0.85,2.01,1.50,1.53,0.17,0.21,0.15,0.75,0.48,0.40,2.03,1.89,1.92,0.99,0.87,0.86
7,Himachal RTC,4893.83,4739.26,4440.66,9512.54,9208.49,8234.03,5572.23,5266.34,4888.13,10831.20,10232.60,9063.74,-678.40,-527.07,-447.47,-1318.66,-1024.12,-829.71,46.39,48.56,44.61,29.92,27.52,28.27,2.12,2.14,2.88,2.57,2.47,3.29,2.18,2.20,2.14,4.22,4.41,3.47,4.91,4.30,3.52,0.08,0.00,0.18,7.61,8.40,7.91,0.00,0.00,3.03,25.85,25.57,21.81,16.67,14.49,13.82,1.18,1.13,1.41,1.43,1.30,1.61,1.21,1.16,1.04,2.35,2.32,1.70,2.73,2.26,1.72,0.04,0.00,0.09,4.24,4.42,3.87,0.00,0.00,1.82
8,Jammu and Kashmir SRTC,8603.80,8640.34,8161.43,6886.63,7058.82,6631.86,14248.77,59838.56,10035.05,11404.97,48885.72,8154.33,-5644.97,-51198.21,-1873.62,-4518.33,-41826.90,-1522.47,39.93,86.59,51.32,16.18,3.35,18.44,0.36,0.14,0.80,1.46,0.42,2.19,0.00,0.00,0.00,3.33,0.07,3.99,33.88,7.62,17.78,0.58,0.11,0.61,4.27,1.70,4.86,0.00,0.00,3.73,56.90,518.15,51.50,23.05,20.02,18.51,0.52,0.83,0.80,2.08,2.49,2.20,0.00,0.00,0.00,4.74,0.43,4.01,48.28,45.60,17.84,0.83,0.68,0.62,6.09,10.19,4.88,0.00,0.00,0.00
9,Karnataka SRTC ,3514.01,3326.13,3222.24,11624.05,11160.23,10587.62,3641.33,3321.84,3402.03,12045.18,11145.84,11178.39,-127.31,4.29,-179.79,-421.13,14.40,-590.77,40.92,42.36,43.17,38.06,36.47,35.22,1.42,1.61,1.91,2.50,2.83,2.91,0.57,0.48,0.48,5.68,5.27,5.26,0.00,0.00,0.00,1.05,1.09,1.47,4.49,4.72,4.52,5.31,5.17,0.00,14.90,14.07,14.69,13.86,12.11,11.98,0.52,0.54,0.65,0.91,0.94,0.99,0.21,0.16,0.16,2.07,1.75,1.79,0.00,0.00,0.00,0.38,0.36,0.50,1.64,1.57,1.54,1.93,1.72,1.72
10,Kerala SRTC,3809.27,3429.67,3224.94,10191.94,9696.04,8687.91,6068.02,6836.88,6313.86,16235.37,19328.56,17009.41,-2258.75,-3407.21,-3088.93,-6043.44,-9632.52,-8321.51,29.99,26.92,28.48,29.55,23.75,24.58,0.12,0.06,0.07,0.19,0.19,0.26,8.43,17.87,16.63,2.45,1.96,2.04,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,29.26,29.26,5.06,18.20,18.40,17.98,17.93,16.24,15.52,0.07,0.04,0.05,0.11,0.13,0.16,5.12,12.22,10.50,1.49,1.34,1.29,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,17.76,20.00,17.65
